# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug  8 06:11:11 2023
#
# User ID:         asafka7a
#
# User preference: first*
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radjstr not null
# CONSTRAINT:  and pl_bmassjstr not null
# CONSTRAINT:  and pl_densstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr < 100)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
eps Eri b,0,2671.00000000,17.00000000,-23.00000000,0,3.530000,0.030000,-0.040000,0,1.250,,,0,0.66000,0.12000,-0.09000,0,Mass,0.411000,,,0,0.070000,0.070000,-0.050000,0,K2 V,0.82,0.02,-0.02,0,0.600,0.200,-0.200,0,3.2026000,0.0048300,-0.0048300
GJ 887 b,0,9.26200000,0.00100000,-0.00100000,0,0.068000,0.002000,-0.002000,0,0.168,,,0,0.01321,0.00189,-0.00189,0,Msini,3.470000,,,0,0.000000,,,0,M1 V,0.49,0.05,-0.05,0,2.880,3.850,-2.880,0,3.2900000,0.0100000,-0.0100000
GJ 887 c,0,21.78900000,0.00400000,-0.00500000,0,0.120000,0.004000,-0.004000,0,0.238,,,0,0.02391,0.00378,-0.00378,0,Msini,2.190000,,,0,,,,,M1 V,0.49,0.05,-0.05,0,2.880,3.850,-2.880,0,3.2900000,0.0100000,-0.0100000
Ross 128 b,0,9.86580000,0.00700000,-0.00700000,0,0.049600,0.001700,-0.001700,0,0.099,,,0,0.00440,0.00066,-0.00066,0,Msini,5.630000,,,0,0.116000,0.097000,-0.097000,0,M4,0.17,0.02,-0.02,0,5.000,,,-1,3.3745400,0.0008050,-0.0008050
tau Cet e,0,162.87000000,1.08000000,-0.46000000,0,0.538000,0.060000,-0.060000,0,0.161,,,0,0.01237,0.00261,-0.00201,0,Msini,3.640000,,,0,0.180000,0.180000,-0.140000,0,G8.5V,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
tau Cet f,0,636.13000000,11.70000000,-47.69000000,0,1.334000,0.017000,-0.044000,0,0.161,,,0,0.01237,0.00330,-0.00431,0,Msini,3.640000,,,0,0.160000,0.070000,-0.160000,0,G8.5V,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
tau Cet g,0,20.00000000,0.02000000,-0.01000000,0,0.133000,0.001000,-0.002000,0,0.105,,,0,0.00551,0.00079,-0.00126,0,Msini,5.850000,,,0,0.060000,0.130000,-0.060000,0,G8.5V,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
tau Cet h,0,49.41000000,0.08000000,-0.10000000,0,0.243000,0.003000,-0.003000,0,0.106,,,0,0.00576,0.00214,-0.00082,0,Msini,5.970000,,,0,0.230000,0.160000,-0.150000,0,G8.5V,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
eps Ind A b,0,16510.00000000,2100.00000000,-1740.00000000,0,11.550000,0.980000,-0.860000,0,1.170,,,0,3.25000,0.39000,-0.65000,0,Mass,2.520000,,,0,0.260000,0.070000,-0.030000,0,K2 V,0.75,0.04,-0.04,0,4.700,1.000,-1.000,0,3.6385700,0.0033300,-0.0033300
GJ 1061 b,0,3.20400000,0.00100000,-0.00100000,0,0.021000,0.001000,-0.001000,0,0.098,,,0,0.00431,0.00050,-0.00047,0,Msini,5.660000,,,0,0.310000,,,1,M5.5 V,0.12,0.01,-0.01,0,7.000,0.500,-0.500,-1,3.6727800,0.0008900,-0.0009000
GJ 1061 c,0,6.68900000,0.00500000,-0.00500000,0,0.035000,0.001000,-0.001000,0,0.105,,,0,0.00547,0.00072,-0.00072,0,Msini,5.820000,,,0,0.290000,,,1,M5.5 V,0.12,0.01,-0.01,0,7.000,0.500,-0.500,-1,3.6727800,0.0008900,-0.0009000
GJ 1061 d,0,13.03100000,0.02500000,-0.03200000,0,0.054000,0.001000,-0.001000,0,0.103,,,0,0.00516,0.00076,-0.00072,0,Msini,5.770000,,,0,0.530000,,,1,M5.5 V,0.12,0.01,-0.01,0,7.000,0.500,-0.500,-1,3.6727800,0.0008900,-0.0009000
