# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sat Apr 19 03:22:22 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User ID:         asafka7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: seventh*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_controv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbperstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbsmaxstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_radjstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_bmassjstr < 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_densstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_spectype not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_radstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_massstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_agestr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and sy_diststr not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by st_spectype desc, pl_orbsmax desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_controv_flag: Controversial Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denslim:     Planet Density Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_age:         Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_agelim:      Stellar Age Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra:             RA [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec:            Dec [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr1:    Distance [pc] Upper Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr2:    Distance [pc] Lower Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
Teegarden's Star d,0,26.13000000000,0.03000000000,-0.04000000000,0,0.0791000000,0.0025000000,-0.0027000000,0,0.08510000,,,0,0.00258001,0.00053488,-0.00053488,0,Msini,5.190000,,,0,0.070000,0.100000,-0.050000,0,M7.0 V,0.120000,0.012000,-0.012000,0,0.097000,0.010000,-0.010000,0,8.0000,,,-1,43.2691449,16.8649024,3.83078000,0.00398000,-0.00397000
Teegarden's Star c,0,11.41600000000,0.00300000000,-0.00300000000,0,0.0455000000,0.0015000000,-0.0016000000,0,0.09120000,,,0,0.00330367,0.00044049,-0.00040903,0,Msini,5.440000,,,0,0.040000,0.070000,-0.030000,0,M7.0 V,0.120000,0.012000,-0.012000,0,0.097000,0.010000,-0.010000,0,8.0000,,,-1,43.2691449,16.8649024,3.83078000,0.00398000,-0.00397000
Teegarden's Star b,0,4.90634000000,0.00041000000,-0.00041000000,0,0.0259000000,0.0008000000,-0.0009000000,0,0.09370000,,,0,0.00364977,0.00037756,-0.00034610,0,Msini,5.510000,,,0,0.030000,0.040000,-0.020000,0,M7.0 V,0.120000,0.012000,-0.012000,0,0.097000,0.010000,-0.010000,0,8.0000,,,-1,43.2691449,16.8649024,3.83078000,0.00398000,-0.00397000
LHS 3154 b,0,3.71778000000,0.00080000000,-0.00081000000,0,0.0226200000,0.0001800000,-0.0001800000,0,0.32900000,,,0,0.04137453,0.00264294,-0.00258001,0,Msini,1.440000,,,0,0.076000,0.057000,-0.047000,0,M6.5,0.140500,0.003800,-0.003800,0,0.111800,0.002700,-0.002700,0,5.0000,4.0000,-2.0000,0,241.6367309,40.9068221,15.76060000,0.01800000,-0.01800000
TOI-1696 b,0,2.50031100000,0.00000400000,-0.00000400000,0,0.0229000000,0.0002000000,-0.0002000000,0,0.27567181,0.00981356,-0.00981356,0,0.15354197,,,1,Mass,9.440000,,,1,0.000000,,,0,M5V,0.277500,0.008000,-0.008000,0,0.255000,0.006600,-0.006600,0,7.1000,4.6000,-4.6000,0,65.2806480,48.8198312,64.91720000,0.35810000,-0.35440000
TOI-4184 b,0,4.90198040000,0.00000520000,-0.00000520000,0,0.0336000000,0.0015000000,-0.0015000000,0,0.21679045,0.01873498,-0.01873498,0,0.02040000,,,0,M-R relationship,2.480000,,,0,,,,,M5.5+/-0.5,0.234700,0.015000,-0.015000,0,0.210900,0.029000,-0.026000,0,6.7000,4.9000,-4.7000,0,43.8284749,-79.4147039,69.36490000,0.32430000,-0.32150000
GJ 3512 c,0,1599.60000000000,1.10000000000,-0.80000000000,0,1.2920000000,0.0030000000,-0.0030000000,0,0.83200000,,,0,0.20000000,0.01000000,-0.01000000,0,Msini,0.431000,,,0,0.018300,0.000100,-0.000100,0,M5.5 V,0.139000,0.005000,-0.005000,0,0.123000,0.009000,-0.009000,0,5.5000,2.5000,-2.5000,0,130.3316616,59.4918364,9.48637000,0.00857000,-0.00856000
GJ 3512 b,0,203.69000000000,0.09000000000,-0.02000000000,0,0.3370000000,0.0010000000,-0.0010000000,0,1.27000000,,,0,0.46000000,0.02000000,-0.01000000,0,Msini,0.275000,,,0,0.440000,0.010000,-0.010000,0,M5.5 V,0.139000,0.005000,-0.005000,0,0.123000,0.009000,-0.009000,0,5.5000,2.5000,-2.5000,0,130.3316616,59.4918364,9.48637000,0.00857000,-0.00856000
GJ 1061 d,0,13.03100000000,0.02500000000,-0.03200000000,0,0.0540000000,0.0010000000,-0.0010000000,0,0.10300000,,,0,0.00515999,0.00075512,-0.00072366,0,Msini,5.770000,,,0,0.530000,,,1,M5.5 V,0.156000,0.005000,-0.005000,0,0.120000,0.010000,-0.010000,0,7.0000,0.5000,-0.5000,-1,54.0032486,-44.5143104,3.67278000,0.00089000,-0.00090000
GJ 1061 c,0,6.68900000000,0.00500000000,-0.00500000000,0,0.0350000000,0.0010000000,-0.0010000000,0,0.10500000,,,0,0.00547462,0.00072366,-0.00072366,0,Msini,5.820000,,,0,0.290000,,,1,M5.5 V,0.156000,0.005000,-0.005000,0,0.120000,0.010000,-0.010000,0,7.0000,0.5000,-0.5000,-1,54.0032486,-44.5143104,3.67278000,0.00089000,-0.00090000
GJ 1061 b,0,3.20400000000,0.00100000000,-0.00100000000,0,0.0210000000,0.0010000000,-0.0010000000,0,0.09820000,,,0,0.00431048,0.00050341,-0.00047195,0,Msini,5.660000,,,0,0.310000,,,1,M5.5 V,0.156000,0.005000,-0.005000,0,0.120000,0.010000,-0.010000,0,7.0000,0.5000,-0.5000,-1,54.0032486,-44.5143104,3.67278000,0.00089000,-0.00090000
TOI-2266 b,0,2.32631800000,0.00000480000,-0.00000480000,0,0.0200000000,0.0020000000,-0.0020000000,0,0.13738983,0.00802928,-0.00802928,0,0.00940000,,,0,M-R relationship,4.500000,,,0,,,,,M5.0+0.5-0.5,0.240000,0.010000,-0.010000,0,0.230000,0.020000,-0.020000,0,0.3000,,,-1,245.2800398,31.5770413,51.60040000,0.12970000,-0.12910000
CD Cet b,0,2.29070000000,0.00012000000,-0.00012000000,0,0.0185000000,0.0013000000,-0.0013000000,0,0.16200000,,,0,0.01242809,0.00132147,-0.00135293,0,Msini,3.600000,,,0,,,,,M5.0 V,0.175000,0.006000,-0.006000,0,0.161000,0.010000,-0.010000,0,3.0000,2.0000,-2.0000,0,48.3530155,4.7751881,8.60715000,0.00658000,-0.00658000
TOI-1227 b,0,27.36397000000,0.00011000000,-0.00011000000,0,0.0886000000,0.0054000000,-0.0057000000,0,0.85400000,0.06700000,-0.05200000,0,0.20900000,,,0,M-R relationship,0.417000,,,0,,,,,M4.5V-M5V,0.560000,0.030000,-0.030000,0,0.170000,0.015000,-0.015000,0,0.0110,0.0020,-0.0020,0,186.7673635,-72.4518501,100.64100000,0.57300000,-0.56600000
LHS 1140 b,0,24.73723000000,0.00002000000,-0.00002000000,0,0.0946000000,0.0017000000,-0.0017000000,0,0.15434053,0.00223035,-0.00223035,0,0.01761957,0.00059781,-0.00059781,0,Mass,5.900000,0.300000,-0.300000,0,0.043000,,,1,M4.5 V,0.215900,0.003000,-0.003000,0,0.184400,0.004500,-0.004500,0,5.0000,,,-1,11.2486320,-15.2741085,14.98610000,0.01530000,-0.01520000
TOI-2136 b,0,7.85192800000,0.00001800000,-0.00001600000,0,0.0570000000,0.0060000000,-0.0060000000,0,0.19537905,0.01516641,-0.01516641,0,0.02004226,0.00770856,-0.00720515,0,Mass,3.340000,2.550000,-1.630000,0,0.000000,,,0,M4.5 V,0.340000,0.020000,-0.020000,0,0.340000,0.020000,-0.020000,0,4.6000,1.0000,-1.0000,0,281.1763433,36.5631318,33.36310000,0.06425000,-0.06425000
GJ 1132 c,0,8.92900000000,0.01000000000,-0.01000000000,0,0.0476000000,0.0017000000,-0.0017000000,0,0.12800000,,,0,0.00830633,0.00138439,-0.00138439,0,Msini,4.960000,,,0,0.270000,,,1,M4.5 V,0.210500,0.010200,-0.008500,0,0.181000,0.019000,-0.019000,0,5.0000,,,-1,153.7090696,-47.1549358,12.61300000,0.00700000,-0.00700000
TOI-237 b,0,5.43609800000,0.00003900000,-0.00003900000,0,0.0341000000,0.0010000000,-0.0010000000,0,0.12846820,0.01070568,-0.01070568,0,0.00839000,,,0,M-R relationship,4.910000,,,0,0.000000,,,0,M4.5 V,0.211000,0.006000,-0.006000,0,0.179000,0.004000,-0.004000,0,4.5000,,,-1,353.2435381,-29.4164870,38.07490000,0.22920000,-0.22650000
K2-25 b,0,3.48456408000,0.00000060000,-0.00000050000,0,0.0287000000,0.0012000000,-0.0012000000,0,0.30600000,0.01100000,-0.01100000,0,0.07708562,0.01793421,-0.01636103,0,Mass,3.310000,,,0,0.428000,0.050000,-0.049000,0,M4.5 V,0.290216,0.008693,-0.008693,0,0.263400,0.007700,-0.007700,0,0.7300,0.0500,-0.0520,0,63.2739346,15.2477027,44.95650000,0.16640000,-0.16530000
YZ Cet d,0,4.65626000000,0.00028000000,-0.00029000000,0,0.0285100000,0.0006100000,-0.0007100000,0,0.09210000,,,0,0.00342952,0.00037756,-0.00037756,0,Msini,5.480000,,,0,0.070000,0.040000,-0.050000,0,M4.5 V,0.157000,0.005000,-0.005000,0,0.142000,0.010000,-0.010000,0,3.8000,0.5000,-0.5000,0,18.1330792,-16.9962434,3.71207000,0.00109000,-0.00109000
LHS 1140 c,0,3.77794000000,0.00000200000,-0.00000200000,0,0.0270000000,0.0005000000,-0.0005000000,0,0.11348043,0.00231957,-0.00231957,0,0.00600953,0.00018878,-0.00018878,0,Mass,5.100000,0.400000,-0.400000,0,0.050000,,,1,M4.5 V,0.215900,0.003000,-0.003000,0,0.184400,0.004500,-0.004500,0,5.0000,,,-1,11.2486320,-15.2741085,14.98610000,0.01530000,-0.01520000
YZ Cet c,0,3.05989000000,0.00010000000,-0.00010000000,0,0.0215600000,0.0004600000,-0.0005400000,0,0.09330000,,,0,0.00358684,0.00034610,-0.00031464,0,Msini,5.410000,,,0,0.000000,,,0,M4.5 V,0.157000,0.005000,-0.005000,0,0.142000,0.010000,-0.010000,0,3.8000,0.5000,-0.5000,0,18.1330792,-16.9962434,3.71207000,0.00109000,-0.00109000
YZ Cet b,0,2.02087000000,0.00007000000,-0.00009000000,0,0.0163400000,0.0003500000,-0.0004100000,0,0.08140000,,,0,0.00220245,0.00028317,-0.00025171,0,Msini,5.050000,,,0,0.060000,0.060000,-0.040000,0,M4.5 V,0.157000,0.005000,-0.005000,0,0.142000,0.010000,-0.010000,0,3.8000,0.5000,-0.5000,0,18.1330792,-16.9962434,3.71207000,0.00109000,-0.00109000
GJ 1132 b,0,1.62892911000,0.00000029000,-0.00000030000,0,0.0157000000,0.0001300000,-0.0001300000,0,0.10630000,0.00340000,-0.00400000,0,0.00578000,0.00060000,-0.00059000,0,Mass,5.970000,0.960000,-0.790000,0,0.011800,0.047000,-0.009900,0,M4.5 V,0.221100,0.006900,-0.008100,0,0.194500,0.004800,-0.004600,0,5.0000,,,-1,153.7090696,-47.1549358,12.61300000,0.00700000,-0.00700000
