# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 03:41:26 2023
#
# User ID:         asafka7a
#
# User preference: third*
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radjstr not null
# CONSTRAINT:  and pl_bmassjstr not null
# CONSTRAINT:  and pl_densstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
11 UMi b,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,1.090,,,0,14.74000,2.50000,-2.50000,0,Msini,13.800000,,,0,0.080000,0.030000,-0.030000,0,K4 III,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,1.560,0.540,-0.540,0,125.3210000,1.9765000,-1.9765000
14 And b,0,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,1.160,,,0,3.55900,0.11400,-0.12200,0,Msini,2.760000,,,0,0.000000,,,0,K0 III,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,4.500,1.900,-1.900,0,75.4392000,0.7140000,-0.7140000
14 Her b,0,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,1.120,,,0,8.05300,1.63200,-0.88300,0,Mass,7.030000,,,0,0.373000,0.008000,-0.006000,0,K0 V,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,3.900,,,0,17.9323000,0.0073000,-0.0073000
16 Cyg B b,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,1.200,,,0,1.78000,0.08000,-0.08000,0,Msini,1.260000,,,0,0.680000,0.020000,-0.020000,0,G3 V,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,7.400,0.100,-0.100,0,21.1397000,0.0110000,-0.0111000
17 Sco b,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,1.150,,,0,4.32000,0.15000,-0.12000,0,Msini,3.510000,,,0,0.060000,0.030000,-0.020000,0,K3 III,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,5.130,2.120,-1.330,0,124.9530000,2.5900000,-2.5900000
18 Del b,0,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,1.120,,,0,9.20700,0.16000,-0.07700,0,Msini,8.230000,,,0,0.024000,0.007000,-0.018000,0,G6 III,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,1.100,0.100,-0.100,0,76.2220000,0.6217000,-0.6217000
24 Boo b,0,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,1.240,,,0,0.88300,0.03600,-0.04300,0,Msini,0.574000,,,0,0.032000,0.039000,-0.023000,0,G3 IV,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,6.920,4.830,-2.750,0,95.9863000,0.6368500,-0.6368500
24 Sex b,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,1.190,,,0,1.99000,0.26000,-0.38000,0,Msini,1.440000,,,0,0.090000,0.140000,-0.060000,0,K0 IV,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,2.700,0.400,-0.400,0,72.0691000,0.6854000,-0.6728000
24 Sex c,0,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,1.240,,,0,0.86000,0.35000,-0.22000,0,Msini,0.559000,,,0,0.290000,0.160000,-0.090000,0,K0 IV,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,2.700,0.400,-0.400,0,72.0691000,0.6854000,-0.6728000
30 Ari B b,0,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,1.100,,,0,13.82000,1.80000,-1.80000,0,Msini,13.000000,,,0,0.290000,0.090000,-0.090000,0,F6 V,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.910,0.830,-0.830,0,44.6570000,0.1039000,-0.1034000
4 UMa b,0,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,1.120,,,0,7.90200,0.19900,-0.37800,0,Msini,6.900000,,,0,0.453000,0.021000,-0.036000,0,K1 III,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,4.604,2.000,-2.000,0,73.4603000,1.1860500,-1.1860500
42 Dra b,0,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,1.160,,,0,3.88000,0.85000,-0.85000,0,Msini,3.080000,,,0,0.380000,0.060000,-0.060000,0,K1.5 III,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,9.490,1.760,-1.760,0,90.6545000,1.3227000,-1.3227000
