# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jul 22 11:47:38 2023
#
# User ID:         asafka7a
#
# User preference: archive defaults*
#
# CONSTRAINT:  where (sy_snum = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_agestr not null
# CONSTRAINT:  and sy_diststr < 50)
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
tau Cet h,1,0,0.243000,0.003000,-0.003000,0,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
tau Cet g,1,0,0.133000,0.001000,-0.002000,0,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
tau Cet f,1,0,1.334000,0.017000,-0.044000,0,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
tau Cet e,1,0,0.538000,0.060000,-0.060000,0,0.78,0.01,-0.01,0,12.120,,,-1,3.6030400,0.0067800,-0.0067500
rho CrB e,1,0,0.106100,0.001100,-0.001100,0,0.95,0.01,-0.01,0,10.200,0.500,-0.500,0,17.4671000,0.0241000,-0.0240000
rho CrB d,1,0,0.827000,0.011000,-0.011000,0,0.95,0.01,-0.01,0,10.200,0.500,-0.500,0,17.4671000,0.0241000,-0.0240000
rho CrB c,1,0,0.420600,0.004400,-0.004500,0,0.95,0.01,-0.01,0,10.200,0.500,-0.500,0,17.4671000,0.0241000,-0.0240000
pi Men c,1,0,0.069000,0.003000,-0.003000,0,1.10,0.14,-0.14,0,3.920,1.030,-0.980,0,18.2702000,0.0226000,-0.0226000
nu Oph c,1,0,5.931000,,,0,2.70,0.20,-0.20,0,0.650,0.170,-0.170,0,46.2107000,1.7331300,-1.7331300
nu Oph b,1,0,1.790000,,,0,2.70,0.20,-0.20,0,0.650,0.170,-0.170,0,46.2107000,1.7331300,-1.7331300
mu Leo b,1,0,1.100000,0.100000,-0.100000,0,1.50,0.10,-0.10,0,3.350,0.700,-0.700,0,32.6081000,0.4521000,-0.4521000
kap CrB b,1,0,2.760000,0.160000,-0.160000,0,1.80,0.11,-0.11,0,2.500,1.000,-1.000,0,30.0651000,0.0986500,-0.0986500
iot Dra c,1,0,19.400000,10.000000,-7.700000,0,1.54,0.09,-0.09,0,2.650,0.740,-0.740,0,31.3283200,0.5005460,-0.5005460
iot Dra b,1,0,1.453000,0.026000,-0.026000,0,1.54,0.09,-0.09,0,2.650,0.740,-0.740,0,31.3283200,0.5005460,-0.5005460
gam Lib c,1,0,2.170000,0.100000,-0.100000,0,1.47,0.20,-0.20,0,2.820,1.970,-0.820,0,47.4017000,0.9084500,-0.9084500
gam Lib b,1,0,1.240000,0.100000,-0.100000,0,1.47,0.20,-0.20,0,2.820,1.970,-0.820,0,47.4017000,0.9084500,-0.9084500
eps Eri b,1,0,3.530000,0.030000,-0.040000,0,0.82,0.02,-0.02,0,0.600,0.200,-0.200,0,3.2026000,0.0048300,-0.0048300
bet UMi b,1,0,1.400000,0.100000,-0.100000,0,1.40,0.20,-0.20,0,2.950,1.030,-1.030,0,38.7747200,0.7818090,-0.7818090
bet Pic c,1,0,2.680000,0.016000,-0.015000,0,1.80,0.03,-0.03,0,0.023,,,0,19.7442000,0.1320000,-0.1303000
bet Pic b,1,0,10.018000,0.082000,-0.076000,0,1.80,0.03,-0.03,0,0.017,0.005,-0.005,0,19.7442000,0.1320000,-0.1303000
YZ Cet d,1,0,0.028510,0.000610,-0.000710,0,0.14,0.01,-0.01,0,3.800,0.500,-0.500,0,3.7120700,0.0010900,-0.0010900
YZ Cet c,1,0,0.021560,0.000460,-0.000540,0,0.14,0.01,-0.01,0,3.800,0.500,-0.500,0,3.7120700,0.0010900,-0.0010900
YZ Cet b,1,0,0.016340,0.000350,-0.000410,0,0.14,0.01,-0.01,0,3.800,0.500,-0.500,0,3.7120700,0.0010900,-0.0010900
Wolf 503 b,1,0,0.057120,0.000630,-0.000450,0,0.69,0.02,-0.02,0,11.000,2.000,-2.000,0,44.5260000,0.0964000,-0.0961000
WISEP J121756.91+162640.2 A b,1,0,8.000000,1.300000,-1.300000,0,0.03,0.01,-0.01,0,6.000,2.000,-2.000,0,10.1000000,1.9000000,-1.4000000
WD 0806-661 b,1,0,2500.000000,,,0,0.62,0.03,-0.03,0,1.500,0.500,-0.300,0,19.2444000,0.0073000,-0.0073000
WASP-80 b,1,0,0.034400,0.001000,-0.001100,0,0.58,0.05,-0.05,0,7.000,7.000,-7.000,0,49.7876000,0.1160500,-0.1160500
WASP-69 b,1,0,0.045250,0.000530,-0.000530,0,0.98,0.14,-0.14,0,7.000,7.000,-7.000,0,49.9605000,0.1320000,-0.1313000
Teegarden's Star c,1,0,0.044300,0.001400,-0.001500,0,0.09,0.01,-0.01,0,8.000,,,-1,3.8307800,0.0039800,-0.0039700
Teegarden's Star b,1,0,0.025200,0.000800,-0.000900,0,0.09,0.01,-0.01,0,8.000,,,-1,3.8307800,0.0039800,-0.0039700
TRAPPIST-1 h,1,0,0.061890,0.000530,-0.000530,0,0.09,0.00,0.00,0,0.500,,,-1,12.4298888,0.0187066,-0.0187066
TRAPPIST-1 g,1,0,0.046830,0.000400,-0.000400,0,0.09,0.00,0.00,0,0.500,,,-1,12.4298888,0.0187066,-0.0187066
TRAPPIST-1 f,1,0,0.038490,0.000330,-0.000330,0,0.09,0.00,0.00,0,0.500,,,-1,12.4298888,0.0187066,-0.0187066
TRAPPIST-1 e,1,0,0.029250,0.002500,-0.002500,0,0.09,0.00,0.00,0,0.500,,,-1,12.4298888,0.0187066,-0.0187066
TRAPPIST-1 d,1,0,0.022270,0.000190,-0.000190,0,0.09,0.00,0.00,0,0.500,,,-1,12.4298888,0.0187066,-0.0187066
TRAPPIST-1 c,1,0,0.015800,0.000130,-0.000130,0,0.09,0.00,0.00,0,0.500,,,-1,12.4298888,0.0187066,-0.0187066
TRAPPIST-1 b,1,0,0.011540,0.000100,-0.000100,0,0.09,0.00,0.00,0,0.500,,,-1,12.4298888,0.0187066,-0.0187066
