# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sun Dec 31 03:59:10 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User ID:         asafka7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: fifth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_controv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbperstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbsmaxstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_radjstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_bmassjstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_densstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_spectype not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_radstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_massstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and st_agestr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and sy_diststr not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by st_spectype asc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_controv_flag: Controversial Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_denslim:     Planet Density Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_age:         Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_agelim:      Stellar Age Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr1:    Distance [pc] Upper Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr2:    Distance [pc] Lower Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_dist,sy_disterr1,sy_disterr2
HAT-P-4 b,0,3.05653600,,,0,0.044380,0.000810,-0.001500,0,1.274,0.049,-0.060,0,0.67100,0.03300,-0.04400,0,Mass,0.403000,0.065000,-0.049000,0,0.000000,,,0,F,1.62,0.06,-0.05,0,0.56,0.07,-0.07,0,3.900,0.800,-1.400,0,320.4510000,2.8520000,-2.8020000
HAT-P-49 b,0,2.69155000,0.00000600,-0.00000600,0,0.043780,0.000480,-0.000490,0,1.590,0.180,-0.180,0,2.20000,0.59000,-0.59000,0,Mass,0.750000,0.170000,-0.170000,0,0.000000,,,0,F,2.06,0.23,-0.23,0,2.22,0.83,-0.83,0,1.500,0.200,-0.200,0,350.3510000,3.5520000,-3.4820000
HATS-12 b,0,3.14270200,0.00005300,-0.00005300,0,0.044100,0.000500,-0.000500,0,0.692,0.042,-0.042,0,2.39000,0.08700,-0.08700,0,Mass,1.120000,0.140000,-0.140000,0,0.085000,,,1,F,1.17,0.07,-0.07,0,1.16,0.04,-0.04,0,2.360,0.310,-0.310,0,746.1380000,,
HATS-26 b,0,3.30238810,0.00000760,-0.00000760,0,0.047350,0.001330,-0.000680,0,1.750,0.210,-0.210,0,0.65000,0.07600,-0.07600,0,Mass,0.153000,0.042000,-0.042000,0,0.245000,,,1,F,2.04,0.15,-0.11,0,1.30,0.11,-0.06,0,4.040,0.620,-0.940,0,861.8430000,25.2180000,-23.8470000
HATS-27 b,0,4.63703800,0.00001400,-0.00001400,0,0.061100,0.000680,-0.000680,0,1.500,0.200,-0.110,0,0.53000,0.13000,-0.13000,0,Mass,0.180000,0.083000,-0.057000,0,0.581000,,,1,F,1.74,0.17,-0.10,0,1.42,0.05,-0.05,0,2.300,0.220,-0.220,0,816.9880000,41.0720000,-37.3810000
HATS-3 b,0,3.54785100,0.00000500,-0.00000500,0,0.048500,0.000400,-0.000600,0,1.381,0.035,-0.035,0,1.07100,0.13600,-0.13600,0,Mass,0.510000,0.070000,-0.070000,0,0.000000,,,0,F,1.40,0.03,-0.03,0,1.21,0.04,-0.04,0,3.200,0.600,-0.400,0,411.2110000,7.8960000,-7.6080000
K2-34 b,0,2.99563480,0.00000020,-0.00000020,0,0.044200,0.002000,-0.002000,0,1.227,0.052,-0.053,0,1.69800,0.06100,-0.05000,0,Mass,0.940000,0.150000,-0.150000,0,0.000000,,,0,F,1.42,0.06,-0.05,0,1.16,0.04,-0.04,0,2.880,0.260,-0.240,0,348.6460000,6.3230000,-6.1060000
KELT-4 A b,0,2.98959320,0.00000490,-0.00000490,0,0.043170,0.000790,-0.000740,0,1.699,0.046,-0.045,0,0.90200,0.06000,-0.05900,0,Mass,0.228000,0.019000,-0.018000,0,0.000000,,,0,F,1.60,0.04,-0.04,0,1.20,0.07,-0.06,0,4.440,0.780,-0.890,0,218.0500000,2.1060000,-2.0670000
KELT-7 b,0,2.73477000,0.00000400,-0.00000400,0,0.044150,0.000620,-0.000520,0,1.600,0.060,-0.060,0,1.39000,0.22000,-0.22000,0,Mass,0.442000,0.073000,-0.068000,0,0.000000,,,0,F,1.81,0.07,-0.07,0,1.76,0.25,-0.25,0,1.300,0.200,-0.200,0,136.6810000,0.9380000,-0.9240000
Kepler-76 b,0,1.54492980,0.00000040,-0.00000040,0,0.027400,0.002000,-0.001900,0,1.360,0.120,-0.120,0,2.01000,0.37000,-0.35000,0,Mass,1.100000,0.600000,-0.400000,0,0.000000,,,0,F,1.32,0.08,-0.08,0,1.20,0.20,-0.20,0,0.620,0.480,-0.480,0,822.9600000,10.4350000,-10.1820000
TOI-150.01,0,5.85748700,0.00008900,-0.00009700,0,0.070370,0.000870,-0.000880,0,1.255,0.021,-0.019,0,2.51000,0.12000,-0.12000,0,Mass,1.680000,0.120000,-0.120000,0,0.262000,0.045000,-0.037000,0,F,1.53,0.01,-0.01,0,1.35,0.04,-0.03,0,2.346,0.425,-0.901,0,336.2670000,1.9270000,-1.9050000
TOI-163 b,0,4.23130600,0.00006300,-0.00005700,0,0.058000,0.001400,-0.001400,0,1.489,0.034,-0.034,0,1.22000,0.12000,-0.12000,0,Mass,0.490000,0.059000,-0.055000,0,0.000000,,,0,F,1.65,0.02,-0.03,0,1.44,0.03,-0.03,0,1.823,0.300,-0.331,0,411.7190000,8.1630000,-7.8570000
TOI-1789 b,0,3.20866400,0.00001500,-0.00001500,0,0.048820,0.000630,-0.001600,0,1.440,0.240,-0.140,0,0.70000,0.16000,-0.16000,0,Mass,0.280000,0.140000,-0.120000,0,,,,,F,2.17,0.04,-0.03,0,1.51,0.06,-0.14,0,2.730,1.300,-0.510,0,229.0670000,2.3880000,-2.3400000
TOI-2109 b,0,0.67247414,0.00000003,-0.00000028,0,0.017910,0.000650,-0.000650,0,1.347,0.047,-0.047,0,5.02000,0.75000,-0.75000,0,Mass,2.550000,,,0,,,,,F,1.70,0.06,-0.06,0,1.45,0.07,-0.07,0,1.770,0.880,-0.680,0,262.0410000,2.7530000,-2.6980000
TOI-4603 b,0,7.24599000,0.00022000,-0.00021000,0,0.088800,0.001000,-0.001000,0,1.042,0.038,-0.035,0,12.89000,0.58000,-0.57000,0,Mass,14.100000,1.700000,-1.600000,0,0.325000,0.020000,-0.020000,0,F,2.74,0.05,-0.05,0,1.77,0.06,-0.06,0,1.640,0.300,-0.240,0,225.6430000,2.4840000,-2.4320000
TOI-892 b,0,10.62656000,0.00007000,-0.00007000,0,0.092000,0.005000,-0.005000,0,1.070,0.020,-0.020,0,0.95000,0.07000,-0.07000,0,Mass,0.962000,,,0,0.125000,,,1,F,1.39,0.02,-0.02,0,1.28,0.03,-0.02,0,2.200,0.500,-0.500,0,340.5430000,4.8940000,-4.7600000
WASP-186 b,0,5.02679900,0.00001200,-0.00001400,0,0.060000,0.001200,-0.001300,0,1.110,0.030,-0.030,0,4.22000,0.18000,-0.18000,0,Mass,3.821000,0.398000,-0.370000,0,0.330000,0.010000,-0.010000,0,F,1.47,0.02,-0.02,0,1.22,0.07,-0.08,0,3.100,1.000,-0.080,0,278.5140000,3.3870000,-3.3070000
WASP-187 b,0,5.14787800,0.00000500,-0.00000900,0,0.065300,0.001300,-0.001300,0,1.640,0.050,-0.050,0,0.80000,0.09000,-0.09000,0,Mass,0.224000,0.034000,-0.031000,0,0.000000,,,0,F,2.83,0.05,-0.05,0,1.54,0.09,-0.09,0,2.550,0.490,-0.250,0,371.4140000,6.2710000,-6.0700000
HATS-24 b,0,1.34849780,0.00000090,-0.00000090,0,0.023800,0.001000,-0.001000,0,1.395,0.057,-0.057,0,2.26000,0.17000,-0.17000,0,Mass,1.030000,0.150000,-0.150000,0,0.000000,,,0,F V,1.12,0.04,-0.05,0,1.07,0.03,-0.05,0,3.700,2.000,-1.800,0,494.1820000,12.4680000,-11.8800000
HD 5278 b,0,14.33915600,0.00004900,-0.00004700,0,0.120200,0.001300,-0.001300,0,0.219,0.004,-0.004,0,0.02454,0.00472,-0.00440,0,Mass,2.900000,0.600000,-0.500000,0,0.080000,0.090000,-0.050000,0,F V,1.19,0.02,-0.02,0,1.13,0.04,-0.04,0,3.000,1.100,-1.100,0,57.5846000,0.0947000,-0.0943000
HD 5278 c,0,40.87000000,0.18000000,-0.17000000,0,0.241600,0.002700,-0.002700,0,0.401,,,0,0.05789,0.00566,-0.00598,0,Msini,1.120000,,,0,0.070000,0.080000,-0.040000,0,F V,1.19,0.02,-0.02,0,1.13,0.04,-0.04,0,3.000,1.100,-1.100,0,57.5846000,0.0947000,-0.0943000
TOI-4127 b,0,56.39879000,0.00010000,-0.00010000,0,0.308100,0.005500,-0.005800,0,1.096,0.039,-0.032,0,2.30000,0.11000,-0.11000,0,Mass,2.170000,0.220000,-0.240000,0,0.747100,0.007800,-0.008600,0,F V,1.29,0.05,-0.05,0,1.23,0.07,-0.07,0,4.800,2.100,-2.100,0,319.6320000,3.3510000,-3.2830000
TOI-5126 b,0,5.45883850,0.00000700,-0.00000720,0,0.065190,0.000870,-0.000820,0,0.423,0.014,-0.012,0,0.06340,,,0,M-R relationship,1.040000,,,0,0.000000,,,0,F V,1.24,0.03,-0.03,0,1.24,0.05,-0.05,0,0.800,2.800,-0.700,0,160.4140000,1.6140000,-1.5820000
TOI-5126 c,0,17.89990000,0.00180000,-0.00130000,0,0.143900,0.001900,-0.001800,0,0.344,0.015,-0.014,0,0.04470,,,0,M-R relationship,1.360000,,,0,0.000000,,,0,F V,1.24,0.03,-0.03,0,1.24,0.05,-0.05,0,0.800,2.800,-0.700,0,160.4140000,1.6140000,-1.5820000
TOI-558 b,0,14.57407100,0.00002600,-0.00002600,0,0.129100,0.002000,-0.002100,0,1.086,0.041,-0.038,0,3.61000,0.15000,-0.15000,0,Mass,3.500000,0.430000,-0.410000,0,0.298000,0.022000,-0.020000,0,F V,1.50,0.04,-0.04,0,1.35,0.06,-0.07,0,1.790,0.910,-0.730,0,402.6300000,3.8550000,-3.7840000
TOI-2010 b,0,141.83402500,0.00006500,-0.00006600,0,0.551600,0.007800,-0.009300,0,1.054,0.027,-0.027,0,1.28600,0.05500,-0.05700,0,Mass,1.360000,0.110000,-0.100000,0,0.212000,0.022000,-0.021000,0,F0,1.08,0.03,-0.03,0,1.11,0.05,-0.06,0,1.900,2.200,-1.300,0,109.1900000,0.3220000,-0.3200000
