Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
AU Mic c,20:45:10,-31:20:33,0.6976443075465719,2.280171821982985,0.692931312273698,201.65721486317335,2.107931677994852,294.56815983644583
bet UMi b,14:50:42,+74:09:20,0.7429647237631081,0.36190114457661515,0.692253733416535,47.92303002003536,0.2843902557440303,1.3844730548579172
gam1 Leo b,10:19:58,+19:50:29,0.9204341963952053,0.2971473304842787,0.857295975700891,64.82072086124434,0.24012139215402656,1.2462655221653745
51 Peg b,22:57:28,+20:46:09,0.6162545990295295,0.046480389100917646,0.27789818276592226,1.2607804583105562,0.024730502806509753,0.03122683288316576
HD 75289 b,08:47:40,-41:44:16,0.9359083398570143,0.027516105186940573,0.44483998863308555,1.9498285441894339,0.014687517861858557,0.015497518480021233
mu Leo b,09:52:46,+26:00:24,0.7687765282309595,0.020800414648456014,0.7144337654365172,49.01696265529829,0.0161154276370878,0.03984977680833441
HD 208527 b,21:56:24,+21:14:24,0.6723189672005921,0.014010596820778837,0.6326244125179944,56.447781552447154,0.011883317398509336,0.11953405512715017
HD 112640 b,12:56:58,+67:14:34,0.6935374058167747,0.012644893077188668,0.6472915429355062,54.08858745595204,0.009885197806464189,0.05192156168141578
KELT-14 b,07:13:12,-42:24:35,0.7316313211747272,0.012076813923255884,0.07942756242204152,0.10218217382072792,0.0018394809067293072,0.0020047495287408273
GJ 649 b,16:58:09,+25:44:31,0.8937078801185326,0.01152662750804878,0.7971399729055374,26.03983048326285,0.008496655542494461,0.020484450255065775
HD 11977 b,01:54:56,-67:38:49,0.8503640325636792,0.009312407334816447,0.7999691336873842,55.41859347818204,0.007513846283186212,0.03100925317817315
4 UMa b,08:40:13,+64:19:41,0.8666857612507586,0.008472552013500341,0.8033329843954863,47.266664973987936,0.006687924325518535,0.02683056453437728
HD 174205 b,18:43:10,+70:47:34,0.846256125731065,0.007610557236536245,0.7974319344195365,62.050511529978465,0.005918539173064929,0.01802707310374182
gam Lib c,15:35:32,-14:47:22,0.5619172703096855,0.007593875588961702,0.5297201942326041,49.30652525822993,0.006114343503279161,0.023094339015385733
HD 66141 b,08:02:16,+02:20:06,0.6687079212397113,0.006589034621999952,0.6303236787407258,46.60313844033173,0.005118863053937963,0.013678170272143356
HD 173416 b,18:43:36,+36:33:25,0.8869198885278979,0.0057958311092532015,0.8221497267444609,51.958131556425364,0.004504091960935524,0.015448918724127594
17 Sco b,16:13:51,-11:50:16,0.6363335754289533,0.0047217193856071114,0.6014010611979569,49.29455057185216,0.003694395823876751,0.013194830947872754
TOI-1789 b,09:30:58,+26:32:24,0.9123117939917833,0.0038712257143791815,0.32953082802904043,0.9243058903176355,0.0013862585741885908,0.0016098800103660884
TOI-1408 b,20:54:03,+72:34:50,0.7387358601406462,0.0033724592373865336,0.23934199326369698,0.812196044536921,0.0013110762663844536,0.0011439214751525822
WASP-69 b,21:00:06,-05:05:41,0.26869447367089644,0.0030240666259185225,0.06362007142484341,0.08253076105161106,0.0008742604883818328,0.0010945561695494994
HD 40956 b,06:06:39,+63:27:14,0.8195896139933586,0.0028800199908046286,0.759261176175766,66.10079946207404,0.0022450394354981817,0.004924932652369547
HD 76700 b,08:53:55,-66:48:02,0.9810331188875694,0.002617781323518659,0.551683658983839,2.4441183625018246,0.0014954080586008444,0.0021071169941672342
HD 120084 b,13:42:39,+78:03:53,0.5346090576160998,0.0025204105864538957,0.5055912827965714,39.86065004203635,0.0019752829336557,0.005483696330845954
42 Dra b,18:26:00,+65:33:48,0.6053198949234543,0.002300806016269084,0.5709988683011725,45.548286925824996,0.0018046736399518581,0.0051401050137010445
gam Cep b,23:39:21,+77:38:00,0.457122977705672,0.002126962873844969,0.43341106701107296,45.920848267943136,0.0016836619068696928,0.004447281882199868
HD 128311 c,14:36:01,+09:44:44,0.993273388406581,0.0013503290108646763,0.9358066628853663,69.71290917577205,0.0010560163209008934,0.002381373076721676
HD 19615 b,03:15:08,+73:52:05,0.7824113260126104,0.0013067015458771256,0.7396197000636396,55.056118602905,0.0010352902398710322,0.004020667020812614
HD 168746 b,18:21:50,-11:55:23,0.6664821911311173,0.0012651404581939599,0.3535382883730332,1.4177515297758148,0.0006852854181423073,0.0008682617744429034
HD 111591 b,12:50:17,+22:51:47,0.5636126930810352,0.0012063421365669461,0.5281909534555094,43.876824063160775,0.0009341028833900426,0.002187892493879349
HD 150010 b,16:31:28,+72:36:45,0.606764486033742,0.0011633680942086948,0.569666650237456,41.48187198859028,0.00090187023935601,0.002482004875706988
HD 60532 b,07:34:03,-22:17:45,0.7653282204142726,0.0011351761792774825,0.6926448576465654,36.560516104971526,0.000849357212800317,0.0017598498020861947
omi CrB b,15:20:08,+29:36:58,0.5507981432434269,0.000889464293507223,0.5024987171650264,33.46254057433118,0.000774938607890006,0.00434634514700833
HD 192699 b,20:16:06,+04:34:50,0.983048420419477,0.0008585054485246186,0.9059354434488921,55.98672768433411,0.0006988088971076375,0.0033539387330223727
GJ 849 b,22:09:42,-04:38:27,0.29618800361392783,0.000830355237058443,0.2735164377442979,15.413342043475406,0.000633156674691476,0.0014294242579344656
6 Lyn b,06:30:47,+58:09:40,0.5399853753773531,0.0008032185981343999,0.5066843732340569,30.456036440941972,0.0006147420936743503,0.001655473214692835
HD 154391 b,17:01:17,+60:38:56,0.34080198689369534,0.0007319894887439632,0.3253716029301414,33.86607696447193,0.0005785012316994464,0.0015148959003930507
HD 17092 b,02:46:22,+49:39:11,0.7433800366523257,0.0007074842724646689,0.6892442868663963,58.02125448714417,0.0005540420800495443,0.0017455201559542373
HD 102329 b,11:46:47,+03:28:27,0.6991184171013158,0.0006213278500123693,0.6548410617392457,50.65692469782534,0.0004843211392504997,0.0012495515963053534
HD 240210 b,23:10:29,+57:01:46,0.7224764361488093,0.0005577080253479599,0.6770771624070345,50.042130561368054,0.0004546478985949098,0.00234605749985951
WASP-126 b,04:13:30,-69:13:36,0.7598396447117326,0.000503660569419562,0.24660357943066658,0.45024827433387005,0.0002537422978636416,0.0004026005074715068
HD 19994 b,03:12:47,-01:11:47,0.6693789986038996,0.0004998546185325935,0.6227944818282348,34.912163425511835,0.00038162557156300056,0.0009004699311800763
HD 60532 c,07:34:03,-22:17:45,0.6473332533703908,0.00048578486733691454,0.6071481000622071,44.734487946198186,0.00037460624623683885,0.0009220447972271705
GJ 832 b,21:33:34,-49:00:45,0.16468542867665437,0.0003903659243105008,0.1544897314636589,11.257652483192098,0.0003091614798095362,0.0007817500607676394
