Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 36384 b,05:39:44,+75:02:38,2.1466954189722496,2.3989295342881016,1.9632148733266763,99.59160512631784,1.8765372289503297,20.352392869943813
AU Mic c,20:45:10,-31:20:33,0.7347708020196264,2.190405033841735,0.7303648722150307,203.725101509971,2.021098950526927,322.1446511247038
AU Mic b,20:45:10,-31:20:33,8.242411666369419,1.741766218673943,2.0518615002484575,2.7300213349107008,0.983437763314172,2.449968111180694
HD 62509 b,07:45:19,+28:01:34,0.8697455358470483,0.5488355515047341,0.8072495805336984,52.60316042343624,0.416500264818023,1.068573714650805
bet Cnc b,08:16:31,+09:11:07,0.6928420228526959,0.2106495758564595,0.6455965209440534,45.57841457767061,0.1637276085633709,0.9865454994015086
ups And b,01:36:48,+41:24:14,1.3356581163607733,0.1150921664012703,0.7687094905107135,3.216988281145955,0.0733975000171748,0.1546594557036888
HD 212301 b,22:27:31,-77:43:06,2.7315716696382784,0.0583235443437208,1.218123237390356,4.32055603612946,0.0273671699044477,0.0295560594569595
eps Eri b,03:32:55,-09:27:29,0.268369262846812,0.0514421711929231,0.2410143376372764,9.96370358812772,0.0393755688770165,0.0873427665599174
eps CrB b,15:57:35,+26:52:39,0.8901303281761317,0.0496008699918772,0.8286591865600176,62.3790822900051,0.0392463798384273,0.1391732145561346
51 Peg b,22:57:28,+20:46:09,0.6040455312402757,0.0474040638479884,0.2705563805941594,1.1450709865534483,0.0250028276513529,0.0322434482195724
HD 179949 b,19:15:33,-24:10:47,4.017891188692088,0.0419434562625796,2.4178009264025144,9.631745145037016,0.0241956232364265,0.0428970227982
HD 189733 b,20:00:44,+22:42:35,9.353451883211862,0.0292288592898016,1.4717246693127055,1.6228304544643493,0.0119150085396038,0.0306337259027252
HD 75289 b,08:47:40,-41:44:16,0.9235004476995372,0.0274185607315172,0.4338008500627691,1.9484391323548176,0.0146206595791742,0.0162132496229469
iot Dra b,15:24:56,+58:57:58,0.8475554021197896,0.0244280574938411,0.7982917462385591,60.78540825184165,0.0190436867733347,0.0550931536720278
mu Leo b,09:52:46,+26:00:24,0.7419687618652229,0.0213278068339075,0.6903533077454603,45.416405004088595,0.0165278109065977,0.0414292525073046
HD 147513 b,16:24:01,-39:11:35,1.0732339256448054,0.0207927949335697,0.9675280427007736,41.07135345022336,0.0154233109543465,0.0373077525589132
HD 209458 b,22:03:11,+18:53:03,0.5541147610694714,0.0188038126580355,0.0608968160773262,0.0723830766312542,0.0025117342574645,0.002705378973084
GJ 3021 b,00:16:15,-79:51:05,2.679286241832824,0.0179804022443469,2.413380533603745,106.69965931512822,0.0134767092723428,0.0316090102316359
HD 88133 b,10:10:08,+18:11:09,3.585128811356139,0.0166863094641267,2.559130609224635,10.93873176187538,0.0105595793086965,0.0265167625960093
HD 25723 b,04:04:23,-12:47:32,1.0028487742304948,0.0164166406018248,0.9308955404665604,62.502867615921424,0.012906908481702,0.0439981230518209
AF Lep b,05:27:05,-11:54:04,1.498035412335727,0.0149766819955629,1.3947375868533542,78.4473400704096,0.0111774470468479,0.0293142723595441
KELT-7 b,05:13:11,+33:19:05,1.3494300610394792,0.01434332062963,0.3769253864103267,0.5621665310818864,0.0025979031056018,0.0030077542129134
OGLE-TR-56 b,17:56:36,-29:32:21,5.687459619517309,0.0134873150178421,2.2546243076363734,3.809703741224066,0.0045980471163898,0.0077479823507483
HD 113337 b,13:01:47,+63:36:37,2.427558124390891,0.0131100477589639,2.222847366966543,114.41061482068928,0.0102366042169482,0.0299055870120405
KELT-14 b,07:13:12,-42:24:35,0.7280320979842098,0.0121138430598642,0.0771562187656088,0.1033300302055567,0.0018676686812596,0.0019947369080864
HD 59686 A b,07:31:48,+17:05:09,1.097194068135249,0.0111178757851114,1.021473005814587,68.67023181420392,0.008585092384061,0.0225049192460451
HD 285507 b,04:07:01,+15:20:06,3.566842665556578,0.0094829183550748,2.1305658920646584,7.459185886519265,0.0056908495144613,0.0105193218919241
HD 46375 b,06:33:13,+05:27:45,1.1933137725298244,0.0087927157029443,0.6425463022929127,2.786526199972473,0.0051061454093492,0.0075260192085237
