Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
TAP 26 b,04:18:52,+17:23:16,11.45533991051833,0.1604391053304992,6.495263445051641,2.2827364690032876,0.09080761227286167,0.19621345816488833
HS Psc b,01:37:23,+26:57:10,14.217651537995529,0.15889745798139743,9.347037098628519,6.0759383618432,0.1058857044922591,0.2753520186618992
GJ 674 b,17:28:41,-46:53:56,12.295190839917021,0.08558578262596366,7.985747475938267,10.817658286401842,0.05273998117167842,0.16456480856646527
HD 114082 b,13:09:16,-60:18:30,10.703699462451919,0.055476160510434504,9.626252693857467,318.8168040124684,0.03923083686493341,0.09127057255738807
tau Boo b,13:47:15,+17:27:26,47.753414200103904,0.05126799889939636,5.101936393067497,4.543944286948182,0.02225751649299393,0.03589929985480421
V1298 Tau c,04:05:20,+20:09:25,17.720642494667118,0.0345377659214914,5.220744611039281,6.06320393372971,0.01553508780073867,0.06675199257484035
GJ 876 d,22:53:18,-14:16:00,15.502095687981999,0.03277798870336136,7.3478772136408725,19.72858352448103,0.01776098377389869,0.036160173157663816
TOI-2109 b,16:52:45,+16:34:48,76.04319357053384,0.02828227232379736,8.1719694928466,7.305328668441518,0.008461632156691962,0.01768561283104897
Gl 410 b,11:02:39,+21:58:01,10.93461265891299,0.008729800007541921,5.97846798233745,10.54008837809597,0.00521615978090435,0.013639381522441513
HD 86081 b,09:56:06,-03:48:30,16.156830426202006,0.007599565366177289,10.809023841722183,11.371225204869635,0.00425962059050352,0.010315124562716448
GJ 536 b,14:01:02,-02:39:08,10.091079261809574,0.007340629210225351,4.535257846190601,8.681658820363827,0.004336501928025116,0.010996329787236235
TOI-2260 b,16:30:40,+49:02:48,71.32457334618987,0.0063825771172787895,22.340131020718488,29.811943695281187,0.00200789971466367,0.0030944999380314968
LTT 9779 b,23:54:41,-37:37:42,23.604367092598075,0.0053575090329269475,6.031242287098927,8.345667528967258,0.0023501327620929816,0.00548772397224606
WASP-77 A b,02:28:37,-07:03:38,18.925635639199246,0.005346209312121047,2.9965465171886194,3.5302764664792683,0.001822661850282097,0.004994177316528101
TRAPPIST-1 b,23:06:30,-05:02:36,32.50665611033247,0.0050896388293047625,2.546733410358865,2.65637658398245,0.0021940117408907936,0.004827340597428198
WASP-3 b,18:34:32,+35:39:41,14.334142456436897,0.004922608743362437,8.184555768224886,12.388280015936292,0.002517082420339557,0.005384470637828642
WASP-140 b,04:01:33,-20:27:04,13.716522774317045,0.004601600115322872,8.777498048259261,14.286240069843544,0.002546070606579347,0.00574027612996922
TRAPPIST-1 c,23:06:30,-05:02:36,25.396430408129298,0.003799378513328646,1.7225460817418252,1.8269459431762058,0.0016097478441560466,0.003789957346488966
WASP-14 b,14:33:06,+21:53:41,39.178322305073664,0.0035199380084954693,2.978091636376625,2.7840281951762904,0.0012442218709466974,0.0016872274570518984
WASP-43 b,10:19:38,-09:48:23,74.30807835632662,0.002988758703537023,10.308924155202618,8.959998783298929,0.0013639807899156245,0.004031529582150466
TOI-1224 b,02:28:47,-80:53:57,15.178203169759188,0.002666463362973952,4.358902823216477,5.666277355763876,0.0014752203054076588,0.003963507826565968
LP 791-18 c,11:02:46,-16:24:23,11.15220391098027,0.0025956474578314953,2.1149688608783315,3.801953209749339,0.0011463862386764173,0.002607060378910931
TOI-1807 b,13:25:08,+38:55:21,41.98548618056675,0.0025556074018296183,14.099708552786385,19.776680759572038,0.0010764155216568985,0.0034108322723725173
DMPP-4 b,19:34:20,+51:14:09,10.980101730481817,0.0022403913918593943,7.241425172234063,14.147162433290386,0.0011527616653789724,0.002368214015076568
GJ 436 b,11:42:12,+26:42:11,14.446021176998764,0.002142619780392687,3.8554766157942275,5.836059162477914,0.0008836712402155555,0.0021484045861120443
Qatar-1 b,20:13:32,+65:09:44,15.827386970930492,0.001953552707902568,2.331398479212119,2.67019441676438,0.00046609662360090815,0.0008294159407097003
TRAPPIST-1 e,23:06:30,-05:02:36,11.094700637344687,0.001813559536753182,0.6541899535244511,0.6965233811372844,0.0008030186383865786,0.0017403286827582585
L 98-59 c,08:18:08,-68:18:52,18.705482139638328,0.0018029824409612084,4.335806849035938,5.324019467064289,0.00072483978830088,0.001466240279508198
