Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 36384 b,05:39:44,+75:02:38,2.2499768639196023,2.3902048882097,2.0749892666066665,113.28433512398003,1.8670769708867352,20.78128396967628
AU Mic c,20:45:10,-31:20:33,0.6976443075465719,2.280171821982985,0.692931312273698,201.65721486317335,2.107931677994852,294.56815983644583
AU Mic b,20:45:10,-31:20:33,8.304709553324534,1.7250711636519755,2.1070725274844158,2.7242277949253992,0.9892363042801788,2.4317775737976586
bet UMi b,14:50:42,+74:09:20,0.7429647237631081,0.36190114457661515,0.692253733416535,47.92303002003536,0.2843902557440303,1.3844730548579172
gam1 Leo b,10:19:58,+19:50:29,0.9204341963952053,0.2971473304842787,0.857295975700891,64.82072086124434,0.24012139215402656,1.2462655221653745
HS Psc b,01:37:23,+26:57:10,14.175565066803475,0.15887434734041875,9.277879125730557,6.106275185784199,0.10514961075065252,0.24852111848099837
ups And b,01:36:48,+41:24:14,1.3325112400718797,0.11338631843967116,0.7673140007764628,3.460916397694848,0.07313264282130807,0.15198454765170677
GJ 674 b,17:28:41,-46:53:56,12.087749323629724,0.08783864944699699,7.839955978097345,10.953489466512975,0.05533565052256351,0.15994925982821093
HIP 65 A b,00:00:45,-54:49:51,5.97613294355197,0.07760678140299818,4.014274821152494,18.414610519633964,0.0522711173467193,0.09681843888932476
tau Boo b,13:47:15,+17:27:26,47.751331599177135,0.05061846332632068,5.039125607263287,4.539468109689075,0.02196300215480801,0.03452098521913094
51 Peg b,22:57:28,+20:46:09,0.6162545990295295,0.046480389100917646,0.27789818276592226,1.2607804583105562,0.024730502806509753,0.03122683288316576
HD 179949 b,19:15:33,-24:10:47,3.9938894816691484,0.041779036161988886,2.416530958545445,9.621995030018427,0.024427488970567388,0.04326986267096829
GJ 876 d,22:53:18,-14:16:00,15.264866653047736,0.03308978592086198,7.224706474763076,19.96236027425149,0.017781881019123542,0.036581174931411164
HD 189733 b,20:00:44,+22:42:35,9.362394901957977,0.029326241819721377,1.4880683367142096,1.638189308229478,0.011798058320965685,0.03025814602146755
TOI-2109 b,16:52:45,+16:34:48,76.1356885505029,0.028093699067506323,8.00938056835075,7.271969425890376,0.008282578521677887,0.01745097124034233
HD 75289 b,08:47:40,-41:44:16,0.9359083398570143,0.027516105186940573,0.44483998863308555,1.9498285441894339,0.014687517861858557,0.015497518480021233
WASP-18 b,01:37:25,-45:40:40,103.52812644447951,0.026854268508923747,9.603612364897188,8.608051862446416,0.009784675692068302,0.026080050450357602
mu Leo b,09:52:46,+26:00:24,0.7687765282309595,0.020800414648456014,0.7144337654365172,49.01696265529829,0.0161154276370878,0.03984977680833441
GJ 3021 b,00:16:15,-79:51:05,2.5887794581693293,0.017742770982737056,2.327848372053268,128.42195766953606,0.013409109817104893,0.032167239271107095
HD 81688 b,09:28:40,+45:36:03,1.424505583161075,0.017191236718459374,1.3005858673127155,65.2125219026969,0.01303752212032612,0.029980724704890084
HD 88133 b,10:10:08,+18:11:09,3.7095164189709644,0.01635191508193214,2.6430602685202653,11.006075416562183,0.010315280117653033,0.027015449278332857
51 Eri b,04:37:36,-02:28:26,1.226932607396959,0.014715808811712118,1.1492954287049053,57.54313688678297,0.011042539917406186,0.032808758116601965
TOI-2260 b,16:30:40,+49:02:48,72.00401544736185,0.014519480047234792,22.74842721589644,30.739868538451006,0.004550352655203756,0.00757147569306499
KELT-7 b,05:13:11,+33:19:05,1.3421190264265748,0.014371162139232285,0.37073665349961504,0.5617577036034547,0.0025993952463634513,0.0029208180611801533
HD 208527 b,21:56:24,+21:14:24,0.6723189672005921,0.014010596820778837,0.6326244125179944,56.447781552447154,0.011883317398509336,0.11953405512715017
OGLE-TR-56 b,17:56:36,-29:32:21,5.655177007634575,0.013599139771501189,2.237904774012551,3.6181803654192306,0.004719064016541532,0.0078071240122164764
HD 113337 b,13:01:47,+63:36:37,2.468962189056425,0.013070821938130292,2.2603674476773334,123.45449557929362,0.01016465677131339,0.030082438962908478
HD 112640 b,12:56:58,+67:14:34,0.6935374058167747,0.012644893077188668,0.6472915429355062,54.08858745595204,0.009885197806464189,0.05192156168141578
HD 187123 b,19:46:58,+34:25:08,1.052023878469011,0.012532845799255244,0.5182708685086773,2.3331207743451756,0.006964330682331008,0.009174061304115843
KELT-14 b,07:13:12,-42:24:35,0.7316313211747272,0.012076813923255884,0.07942756242204152,0.10218217382072792,0.0018394809067293072,0.0020047495287408273
WASP-103 b,16:37:16,+07:11:00,3.466624163797037,0.011839698287297314,0.8098946815812402,1.0930525611146176,0.0029637733488477157,0.0041414884795387755
GJ 649 b,16:58:09,+25:44:31,0.8937078801185326,0.01152662750804878,0.7971399729055374,26.03983048326285,0.008496655542494461,0.020484450255065775
55 Cnc e,08:52:35,+28:19:47,110.92844541281201,0.010443400053455702,8.22731863795525,6.685549311208462,0.0023121303789442396,0.0032768053105784525
HD 285507 b,04:07:01,+15:20:06,3.464840838922372,0.009589515067684422,2.05106276697684,7.435633258378184,0.00572657716426812,0.010441590355259775
HD 11977 b,01:54:56,-67:38:49,0.8503640325636792,0.009312407334816447,0.7999691336873842,55.41859347818204,0.007513846283186212,0.03100925317817315
HD 46375 b,06:33:13,+05:27:45,1.209599193644916,0.008641488889841842,0.6631463636856331,2.668563433000083,0.004896976899660314,0.008032907658047601
Gl 410 b,11:02:39,+21:58:01,11.115860020315374,0.00852930479846831,6.160897464981176,10.35848100560661,0.005064813027713784,0.013871432804709417
4 UMa b,08:40:13,+64:19:41,0.8666857612507586,0.008472552013500341,0.8033329843954863,47.266664973987936,0.006687924325518535,0.02683056453437728
WASP-19 b,09:53:40,-45:39:33,3.234335611773476,0.007727963169334502,0.712609747475454,0.8824388711035072,0.0027187646607842652,0.0058657376178036305
HD 174205 b,18:43:10,+70:47:34,0.846256125731065,0.007610557236536245,0.7974319344195365,62.050511529978465,0.005918539173064929,0.01802707310374182
gam Lib c,15:35:32,-14:47:22,0.5619172703096855,0.007593875588961702,0.5297201942326041,49.30652525822993,0.006114343503279161,0.023094339015385733
HD 86081 b,09:56:06,-03:48:30,16.66173136029366,0.00756980639316575,11.272694534806426,10.925205218896934,0.0042852713185282994,0.010249252751015863
GJ 536 b,14:01:02,-02:39:08,10.200549031208727,0.00726764784631813,4.5901663234800605,8.79578872136117,0.004285504176551737,0.01106687325466875
HD 66141 b,08:02:16,+02:20:06,0.6687079212397113,0.006589034621999952,0.6303236787407258,46.60313844033173,0.005118863053937963,0.013678170272143356
HD 173416 b,18:43:36,+36:33:25,0.8869198885278979,0.0057958311092532015,0.8221497267444609,51.958131556425364,0.004504091960935524,0.015448918724127594
WASP-77 A b,02:28:37,-07:03:38,18.89716207637271,0.005394266561131524,2.9022955933585735,3.4601079444339042,0.0018722489450055295,0.004542257851525378
LTT 9779 b,23:54:41,-37:37:42,23.47469400250253,0.005307048606616928,5.843013960250836,8.423051838616836,0.0022774748949364776,0.005303381808504087
HD 102956 b,11:51:22,+57:38:26,2.6450031395624234,0.0052800642001745715,1.701657330946016,6.6532026107981785,0.0036465657089857655,0.009954026742583662
WASP-95 b,22:29:50,-48:00:11,9.308206064927274,0.004789346730151304,4.350018172931796,7.816517379496085,0.0022022808851641516,0.004298428929953227
17 Sco b,16:13:51,-11:50:16,0.6363335754289533,0.0047217193856071114,0.6014010611979569,49.29455057185216,0.003694395823876751,0.013194830947872754
WASP-140 b,04:01:33,-20:27:04,13.806347303935713,0.004608745731189672,8.913907749214271,14.408813660459042,0.0025565142420815807,0.005582919881342472
GJ 581 b,15:19:26,-07:43:22,3.443331803855054,0.004443951680779061,2.273611612466876,9.444821582018434,0.002603523547407587,0.004348316628814542
TOI-1789 b,09:30:58,+26:32:24,0.9123117939917833,0.0038712257143791815,0.32953082802904043,0.9243058903176355,0.0013862585741885908,0.0016098800103660884
HAT-P-49 b,20:21:46,+26:41:34,4.623209488987258,0.0037053178694999227,2.6192873719576197,6.207700214635861,0.002008115748345794,0.0033965960561294782
8 UMi b,14:56:48,+74:54:03,1.3983308681901354,0.003602635168135702,1.2625635259184058,50.08642276390664,0.0026006773409817984,0.005577063319856508
HD 185269 b,19:37:12,+28:29:58,2.9425738312678424,0.003491658968315276,1.9136912300107831,7.161594237882794,0.00224853996320481,0.005480964881707676
TOI-1408 b,20:54:03,+72:34:50,0.7387358601406462,0.0033724592373865336,0.23934199326369698,0.812196044536921,0.0013110762663844536,0.0011439214751525822
HD 190007 b,20:02:47,+03:19:36,4.488866338730549,0.0032106696738166633,2.9376557932629566,7.708193128101046,0.0018949701428078445,0.00422759869765577
KELT-16 b,20:57:04,+31:39:40,31.312261156520897,0.0031198985104911184,9.110956707007855,10.63678596334011,0.0007024838157809834,0.0009368968306848469
WASP-43 b,10:19:38,-09:48:23,74.45896999402598,0.00308886435607115,10.509286359316668,8.653006332962747,0.0014339395166398543,0.003999807918882479
WASP-69 b,21:00:06,-05:05:41,0.26869447367089644,0.0030240666259185225,0.06362007142484341,0.08253076105161106,0.0008742604883818328,0.0010945561695494994
HD 149026 b,16:30:30,+38:20:51,7.516420021375487,0.0030230673286198986,2.5610278501754813,3.3390241103511267,0.0008436367940035418,0.001044336995864546
KELT-2 A b,06:10:39,+30:57:26,5.831995465752911,0.003017507626791589,2.1829887180227416,3.379906660295873,0.0009222478293050775,0.0012948380006851832
TOI-1268 b,13:13:33,+62:18:19,1.6905240913174946,0.0029606540469865293,0.5657936360819038,0.913279704718654,0.0015460897407106975,0.002667563843845147
HD 40956 b,06:06:39,+63:27:14,0.8195896139933586,0.0028800199908046286,0.759261176175766,66.10079946207404,0.0022450394354981817,0.004924932652369547
HD 149143 b,16:32:51,+02:05:04,8.431119007827398,0.0028318870697037627,5.590396673752935,9.921136951536738,0.0015072966128726647,0.0034281793834666585
HD 217107 b,22:58:16,-02:23:44,5.9867364808105705,0.0026999678683426636,3.929577412632427,7.647347577096799,0.001424445531551494,0.003055104613787157
HD 76700 b,08:53:55,-66:48:02,0.9810331188875694,0.002617781323518659,0.551683658983839,2.4441183625018246,0.0014954080586008444,0.0021071169941672342
LP 791-18 c,11:02:46,-16:24:23,11.156181244442553,0.0026105116061537997,2.1052678660567494,3.550458547824608,0.0011231669266615633,0.0025875780348388736
WASP-72 b,02:44:10,-30:10:09,16.811670787643784,0.0025358812404494358,10.847493674910211,10.335516549507648,0.0013619988906428567,0.0026370337241412986
HD 120084 b,13:42:39,+78:03:53,0.5346090576160998,0.0025204105864538957,0.5055912827965714,39.86065004203635,0.0019752829336557,0.005483696330845954
42 Dra b,18:26:00,+65:33:48,0.6053198949234543,0.002300806016269084,0.5709988683011725,45.548286925824996,0.0018046736399518581,0.0051401050137010445
HD 128311 b,14:36:01,+09:44:44,1.1011707139481832,0.002298483509027755,1.0167236271611784,46.424646198645306,0.001696087292994016,0.0042649155435098025
DMPP-4 b,19:34:20,+51:14:09,10.99165697709755,0.002230091539870413,7.285892518935119,14.1834703263858,0.0011558389160056556,0.0023660858520599586
GJ 436 b,11:42:12,+26:42:11,14.517382299381374,0.0021591583457661856,3.986481312781466,5.945469971284389,0.0008897263753109674,0.002169666692993818
HAT-P-13 b,08:39:32,+47:21:07,1.3272290682059664,0.002145365866626542,0.3513847764194815,0.5103030814751668,0.0006040904282587436,0.0009099005301999659
gam Cep b,23:39:21,+77:38:00,0.457122977705672,0.002126962873844969,0.43341106701107296,45.920848267943136,0.0016836619068696928,0.004447281882199868
HAT-P-23 b,20:24:30,+16:45:44,16.75777766670199,0.001982344140820313,5.627384496730336,9.086531996594449,0.0006322483615809795,0.0009518420445997241
TOI-1685 b,04:34:23,+43:02:13,59.8450999823134,0.0018844605484503066,10.35674953065761,12.278260353755272,0.0004839752907690202,0.0007781052969206689
L 98-59 d,08:18:08,-68:18:52,7.000644470713333,0.0018408868081442307,1.8777802499181098,2.9960734813322905,0.0007430617980293819,0.0014945298841516235
Kepler-78 b,19:34:58,+44:26:54,68.88196345744834,0.0018050737381405616,15.686901123692785,17.620295183807784,0.00037397346715076,0.0005565364463376806
