Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
V1298 Tau b,0.013166253363573414,9.681700725316642,0.013096271566204826,4.015330467089553,9.567119641988162,1822.2810160802699
V1298 Tau e,0.028705476249311676,7.364379281048764,0.02852627340924795,7.293410667334993,7.240990798753769,1336.959876192655
AU Mic c,0.20930569687798126,4.716255730726317,0.2078593365617115,56.45377498387686,4.403117843671071,701.9959466976576
V1298 Tau d,0.10687738656441614,1.0582489096312466,0.10618287945922304,27.917262779335456,1.0200588111648365,174.23534807348193
HD 62509 b,0.8759977867332545,0.6296274597603148,0.8102071694643643,53.76401852067876,0.47944361173006583,1.0709894430751832
bet Cnc b,0.7168857294220498,0.21253918472127512,0.6713774093918597,51.80436374114183,0.16549726322811276,1.0200493052758486
ups And b,1.229903577399917,0.07614727136852098,0.7380112471406451,3.2364505492564057,0.04770973826950234,0.10477144051076984
HIP 65 A b,5.7686309846005495,0.06583589426673384,3.920120662644605,17.900013242259064,0.04409505489833155,0.08277926085741838
eps CrB b,0.9388205791406528,0.0504978411981857,0.8749280902254694,56.75248582632467,0.04012056955327186,0.13443566386715014
HD 179949 b,4.214253502533365,0.050314149793680235,2.495465911886001,9.477571193256438,0.02959946969063375,0.05238247459734438
tau Boo b,47.78617531461791,0.048700170652879946,4.982051938522133,4.566160403199831,0.02123421060800295,0.03392603850883656
V1298 Tau c,17.597798106438034,0.04546733748709899,5.168158806787886,6.029536639909164,0.016579166168248432,0.02653474943088851
HD 110014 b,0.9701171707870383,0.04300650551350132,0.9110264651379408,61.016939978296975,0.034010126436390266,0.13359275437613394
HD 189733 b,9.357979922198993,0.03235124248890113,1.5088351546048884,1.6055495913697317,0.012971612038086527,0.029435592136155576
WASP-18 b,103.49572481216018,0.029002832742692167,9.343447778482485,8.545979653767503,0.010549845422587238,0.027852290195110468
TOI-2109 b,75.92358570287715,0.02838923382169034,7.895336536651058,7.513978675991638,0.008576701663432381,0.01710755200166493
51 Peg b,0.4899960853728239,0.0282240953643169,0.24363777359435534,0.9850307694929467,0.01568567000122323,0.019850255042219364
iot Dra b,0.8281771617123085,0.0229272757818767,0.7854468188374572,54.348639103814875,0.018114949522793383,0.05013992693021854
KELT-7 b,1.364293889262063,0.021930826563117317,0.36417037244183326,0.5623862571007103,0.005393140874566278,0.006365214533762185
GJ 674 b,12.94062969668106,0.019883053459153234,8.171409509701794,10.221040101742005,0.012269822097895676,0.03355862347811517
HD 75289 b,0.7867752827806553,0.01850729735039398,0.38959130523354424,1.7430562467417472,0.010063031494422248,0.011324304486942782
HD 25723 b,1.108769928152498,0.017853772429694187,1.0375365600373583,72.42279777692615,0.01410372217917609,0.04870385336150909
HD 81688 b,1.3697391766505915,0.017441081241472346,1.2492187958552523,57.564510805077376,0.012964493016073636,0.029583704968891157
mu Leo b,0.8197099455815302,0.017286677729940275,0.7704947812838852,50.32296229617362,0.01333030568875011,0.0355554149299539
51 Eri b,1.1598109068553115,0.016550620211393603,1.0756389779606363,66.00854338118003,0.012700034667640173,0.034484108243821296
TOI-2260 b,71.6074434965851,0.01392395822972365,22.641642652228064,31.247437120725152,0.004562620745007984,0.007010860784982503
HD 208527 b,0.5889933793546027,0.013888458886436673,0.5520856431286424,47.74511068193848,0.01152373631524496,0.11461427415034453
GJ 876 d,15.718557437115068,0.013383706301044471,7.446014790279868,20.0695848175381,0.006954920598601297,0.013764128624837646
OGLE-TR-56 b,5.679660755460873,0.01135887917989348,2.2368535506945726,3.7458794586060584,0.003914930623396263,0.006816388951117219
HD 59686 A b,1.096986542682307,0.011192849199705628,1.0238247053285285,66.47413691874162,0.008494354300013437,0.023581860066085928
HD 113337 b,3.561876240792729,0.011096694983574306,3.260930151137202,133.55177838061894,0.008450462349443206,0.02880918553741973
HD 130322 b,4.90350146402491,0.010486420246038918,3.103334351631608,5.747612678804004,0.006103563037688267,0.011298666705093215
HD 88133 b,3.4309823337928886,0.010304803555547406,2.4804393429981344,10.455547439850038,0.006746650103139484,0.016288246183513468
55 Cnc e,111.2416887228492,0.009784588680246833,8.433046616240404,6.6857121113786775,0.0021992268103868872,0.0031727087337262445
WASP-103 b,3.48254053469026,0.009603029279499112,0.8366922868861444,1.0781429595320104,0.0023633533211764018,0.0034182946812285533
HD 113996 b,0.5797130806647941,0.009020801996074062,0.5440646338253509,49.25557436329452,0.007144944205760052,0.025354068925512573
KELT-14 b,0.6785961612183443,0.0086883204431249,0.08636453387465515,0.11309891933398608,0.0014860810061829944,0.0016017994922426452
WASP-19 b,3.205032717162192,0.007059744096184414,0.6922196651640431,0.8890236452046416,0.002530587056393094,0.005331012997308194
gam Lib c,0.567785896737,0.007054731781592963,0.5392244396453676,44.49857866681907,0.00575219756912439,0.02262720975448435
HD 100655 b,1.347284168330031,0.006229512999969833,1.2265615010268263,57.93916711807927,0.004641411326860187,0.010778334360458067
LTT 9779 b,23.637557551444363,0.006108811137214442,5.88025632155955,8.73775485522162,0.002697915383087562,0.006225053175648917
