Name,Freq(MHz),Flux(mJy)
55 Cnc e,117.71,33.803
AU Mic c,178.38,800.454
CoRoT-7 b,129.04,0.285
EPIC 220674823 b,152.58,0.189
GJ 876 d,34.48,33.712
HD 114082 b,73.88,136.356
HD 80653 b,128.04,1.731
HD 93963 A b,158.25,0.901
K2-141 b,206.44,4.538
K2-229 b,148.56,0.221
Kepler-78 b,148.93,4.757
TOI-1075 b,150.64,1.001
TOI-1860 b,86.84,9.955
TOI-2109 b,76.70,90.883
TOI-2260 b,132.31,39.145
TOI-332 b,136.68,0.375
WASP-18 b,104.77,98.325
WASP-43 b,75.55,9.732
Wolf 327 b,138.94,1.759
tau Boo b,48.42,168.912
