Name,Freq(MHz),Flux(mJy)
55 Cnc e,110.84,2004.637
EPIC 220674823 b,153.65,16.844
GJ 1252 b,43.24,133.467
HD 213885 b,117.60,193.767
HD 80653 b,118.41,129.151
HD 93963 A b,156.10,76.093
K2-141 b,197.08,439.843
K2-229 b,151.60,21.641
KELT-16 b,31.00,159.421
Kepler-78 b,67.97,251.084
TOI-1075 b,152.43,88.253
TOI-1685 b,33.46,170.292
TOI-1860 b,58.92,358.806
TOI-2109 b,75.85,4723.719
TOI-2260 b,76.76,1899.796
TOI-332 b,135.43,28.787
WASP-173 A b,55.50,80.761
WASP-18 b,102.97,5502.878
WASP-43 b,74.79,365.426
tau Boo b,48.72,5016.922
