Name	Corona Temp. (K)	Wind Speed (km/s)
Teegarden's Star d	619877.0	241.0
Teegarden's Star c	619877.0	216.0
Teegarden's Star b	619877.0	187.0
LHS 3154 b	889927.0	230.0
TOI-1696 b	795617.0	157.0
TOI-4184 b	801157.0	197.0
GJ 3512 c	843220.0	403.0
GJ 3512 b	843220.0	351.0
GJ 1061 d	706136.0	235.0
GJ 1061 c	706136.0	212.0
GJ 1061 b	706136.0	183.0
TOI-2266 b	7460230.0	875.0
CD Cet b	1361744.0	273.0
TOI-1227 b	38241262.0	2905.0
LHS 1140 b	964016.0	300.0
TOI-2136 b	1136333.0	263.0
GJ 1132 c	961055.0	260.0
TOI-237 b	1034386.0	254.0
K2-25 b	4053375.0	602.0
YZ Cet d	1126043.0	274.0
LHS 1140 c	964016.0	223.0
YZ Cet c	1126043.0	255.0
YZ Cet b	1126043.0	234.0
GJ 1132 b	972596.0	181.0
HN Lib b	1140639.0	333.0
GJ 4276 b	885845.0	229.0
TOI-3984 A b	1676443.0	293.0
GJ 876 b	3328524.0	693.0
GJ 876 c	3328524.0	652.0
TOI-4364 b	4519362.0	635.0
GJ 876 d	3328524.0	466.0
GJ 1214 b	1387720.0	250.0
TOI-2015 c	982500.0	221.0
TOI-2015 b	982500.0	196.0
TOI-715 b	855933.0	258.0
Ross 128 b	949364.0	265.0
Kepler-445 d	787004.0	220.0
Kepler-446 d	1225810.0	286.0
TOI-2096 c	1173378.0	272.0
Kepler-445 c	787004.0	197.0
Kepler-446 c	1225810.0	260.0
TOI-2096 b	1173378.0	237.0
Kepler-445 b	787004.0	175.0
Kepler-446 b	1225810.0	224.0
TOI-4336 A b	869419.0	242.0
TOI-5713 b	1104821.0	278.0
TOI-6002 b	831584.0	236.0
GJ 3929 c	826310.0	232.0
LTT 3780 c	1530405.0	343.0
TOI-4438 b	1072466.0	242.0
GJ 3929 b	826310.0	154.0
TOI-4860 b	1154001.0	175.0
GJ 486 b	1234921.0	190.0
LTT 3780 b	1530405.0	59.0
GJ 849 c	1612467.0	591.0
GJ 849 b	1612467.0	554.0
LSPM J2116+0234 b	2129020.0	435.0
GJ 581 c	1162066.0	294.0
Gliese 12 b	795655.0	229.0
GJ 581 b	1162066.0	252.0
K2-146 c	1066615.0	212.0
GJ 581 e	1162066.0	225.0
K2-146 b	1066615.0	190.0
K2-95 b	4084117.0	623.0
TOI-6086 b	1956012.0	300.0
TOI-5293 A b	1706014.0	270.0
K2-288 B b	3343746.0	672.0
L 98-59 e	3815595.0	670.0
L 98-59 d	3815595.0	630.0
TOI-122 b	2020359.0	378.0
HATS-71 b	1562628.0	269.0
L 98-59 c	3815595.0	580.0
L 98-59 b	3815595.0	542.0
Gl 725 A b	917159.0	236.0
GJ 1252 b	1302181.0	89.0
GJ 832 b	809918.0	385.0
TOI-1685 b	3509625.0	40.0
K2-104 b	4221095.0	515.0
GJ 876 e	3328524.0	731.0
GJ 317 c	1114401.0	482.0
GJ 317 b	1114401.0	417.0
TOI-700 d	2595314.0	554.0
TOI-700 e	2595314.0	538.0
TOI-700 c	2595314.0	506.0
K2-9 b	3297020.0	622.0
TOI-700 b	2595314.0	478.0
TOI-244 b	886230.0	200.0
TOI-620 b	923565.0	175.0
G 9-40 b	648877.0	157.0
GJ 436 b	1003723.0	165.0
Wolf 327 b	1271252.0	87.0
GJ 674 b	5158219.0	712.0
GJ 3634 b	1128993.0	187.0
LHS 1678 d	849990.0	185.0
LHS 1678 c	849990.0	171.0
LHS 1678 b	849990.0	74.0
TOI-2084 b	854845.0	182.0
Kepler-296 f	1298767.0	366.0
Kepler-296 e	1298767.0	341.0
Kepler-296 d	574841.0	170.0
Kepler-249 d	1615394.0	353.0
Kepler-296 b	574841.0	148.0
HD 285968 b	1441198.0	297.0
Kepler-249 c	1615394.0	311.0
Kepler-296 c	574841.0	122.0
TOI-3785 b	841415.0	159.0
Kepler-249 b	1615394.0	266.0
TOI-1266 d	1189727.0	322.0
TOI-1266 c	1189727.0	298.0
TOI-1266 b	1189727.0	273.0
TOI-3714 b	1700250.0	249.0
HD 95735 c	790521.0	376.0
TOI-1470 c	2931392.0	550.0
GJ 411 b	790521.0	209.0
GJ 806 c	1110899.0	239.0
TOI-1470 b	2931392.0	415.0
GJ 806 b	1110899.0	128.0
GJ 3470 b	2499258.0	384.0
TOI-4201 b	2902971.0	421.0
K2-26 b	3627419.0	606.0
GJ 649 b	6363519.0	1151.0
Kepler-138 e	1221639.0	326.0
Kepler-267 d	1556650.0	373.0
Kepler-236 c	1636450.0	368.0
Kepler-32 d	1821319.0	397.0
Kepler-138 d	1221639.0	304.0
Kepler-54 d	584400.0	173.0
Kepler-205 c	1634397.0	362.0
GJ 887 c	1683973.0	383.0
Kepler-49 e	1719422.0	377.0
Kepler-231 c	1525791.0	341.0
Kepler-225 c	1743813.0	371.0
TOI-776 c	1020870.0	249.0
Kepler-138 c	1221639.0	280.0
Kepler-32 c	1821319.0	368.0
Kepler-54 c	580708.0	149.0
Kepler-49 c	1751323.0	342.0
Kepler-138 b	1221639.0	266.0
Kepler-231 b	1525791.0	307.0
GJ 887 b	1683973.0	338.0
GJ 536 b	6817811.0	877.0
TOI-776 b	1020870.0	219.0
Kepler-236 b	1636450.0	311.0
Kepler-54 b	580708.0	133.0
Kepler-267 c	1556650.0	300.0
Kepler-49 b	1751323.0	318.0
Kepler-225 b	1743813.0	313.0
Kepler-125 c	597432.0	120.0
Kepler-32 b	1821319.0	316.0
Kepler-125 b	597432.0	106.0
Kepler-267 b	1556650.0	257.0
