Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
AU Mic c,0.1956696552233292,5.00335578866625,0.1944425481966566,47.77872808901588,4.675475852871899,869.3538119446928
V1298 Tau d,0.1341168113048361,0.9014637386537944,0.1333014041151282,33.68061718610021,0.8658553752138352,142.17321325942427
alf Tau b,0.4822946689881799,0.3694460535538324,0.4561837375012157,43.98026119968797,0.3001810005791857,1.6442723398214951
bet UMi b,0.7369251146632342,0.3107252719022253,0.6930993642981773,60.8932479955102,0.2432067069496778,1.4119668138475026
eps CrB b,0.9576494215613884,0.0498237666162559,0.895535578697147,68.44262363732979,0.0391933515570473,0.1267884846501378
51 Peg b,0.9928967349470024,0.0282706260064291,0.4358409789090307,0.9852347048372264,0.0146991358974011,0.0256924607331839
eps Eri b,0.4042433971428063,0.0249933785462004,0.3651487193795483,16.93752431218913,0.0189261575186396,0.0445784832382192
iot Dra b,0.8214095660529336,0.0219491563324689,0.7760111876947231,58.91954766303282,0.017264335854819,0.050604414735453
PDS 70 b,0.6317502105815351,0.0138178629365469,0.5618891185744004,12.085015178420928,0.009145510359326,0.0229501789752639
gam Lib b,0.6013707053713603,0.013709415550512,0.5583228958308482,34.20879959638531,0.0109452079230731,0.0443902154861523
HD 112640 b,0.8083707503720788,0.012450890856141,0.7595972437335807,49.771735124578754,0.009855750001259,0.0496103078132477
HD 113996 b,0.6230387242983222,0.0088392719164271,0.5877564582908887,42.80596240101772,0.0070221868331878,0.0250483648156334
18 Del b,0.7545831886009807,0.0049825276761636,0.7085916441857515,54.07477906920534,0.0038160574797274,0.0094900036065117
GJ 3512 b,0.7894774564802919,0.0040608347460229,0.7012561682256149,24.327554357885784,0.0028884904308594,0.0063869674565393
17 Sco b,0.5170120114093513,0.0037291738023686,0.485127127793058,43.60870629427586,0.0029431389577827,0.0105338902641543
HD 47366 b,0.8754588365502665,0.0030788990672069,0.8073874451604628,52.92903227792714,0.0023785241864864,0.0067582831151751
HD 120084 b,0.585873669356949,0.0026722834157307,0.558763808788703,40.50105656164581,0.0020550581738025,0.0059379390818951
HD 47366 c,0.6051868512919745,0.0022052857681412,0.5616296197623221,41.43792985678805,0.0016962745666491,0.0048106250726356
WASP-69 b,0.2490152631456209,0.0021182520434587,0.05918525521855,0.0769911780933143,0.0006246785328647,0.0007577854134528
HD 5608 b,0.5521699856747418,0.0019389213475803,0.5148331703339196,29.61375235463262,0.0014863714364774,0.0038224725574861
gam Cep b,0.4651476506636236,0.0019326722927757,0.4423642299028075,40.24992134666239,0.0015872924219747,0.0067916098065983
HD 167042 b,0.7562595304293522,0.0014659761327596,0.7039306159973457,46.54495262218845,0.0011667561977846,0.0041412931557414
42 Dra b,0.4897199323487475,0.0014523246601355,0.4654078215059967,36.40880885101059,0.0011362421623868,0.0032433991637214
HD 210702 b,0.730687353853261,0.001431348383808,0.6770213508553463,47.41264504903748,0.0011114181087346,0.0026177278492129
HD 76700 b,0.8717146926413928,0.0013050170002119,0.5341774864569255,2.2479165550141325,0.0007666159793631,0.0012442295597537
HD 111591 b,0.6277207353360681,0.0012325264866243,0.5910582561176273,43.83402097709481,0.0009549446812115,0.0023682035717425
KELT-8 b,0.6847922774411896,0.0012019397141782,0.185906293156664,0.2486052877085864,0.0004211360746667,0.0005558506212251
WASP-187 b,0.785289130141122,0.0011692764387051,0.1399726352033848,0.1610028853553143,0.0001971849499063,0.0002357881627902
HD 109749 b,0.9182722233066848,0.0010645270317055,0.4837779043544514,1.7226030789415938,0.0005930558694592,0.0008408591859005
xi Aql b,0.7385453131098625,0.0010546807692334,0.6854281167270285,45.09804363474017,0.0008690081127703,0.0047688139289147
HD 19615 b,0.5281814269234784,0.0009888410931033,0.4936405032848685,36.00001409042782,0.000776514709152,0.0029961859480925
HD 168746 b,0.5461922395740735,0.0009701580599863,0.3047427774939205,1.2486366097034305,0.0005447736074686,0.0007306612276861
HD 150010 b,0.5345948244986874,0.000954538807712,0.5032232592833479,40.037917284235895,0.0007486505353849,0.0020224337859757
HD 192699 b,0.8501341520522929,0.0009121719067038,0.7784298428792893,52.489940829533,0.0007430797418314,0.0036177947244022
WASP-54 b,0.6281215822304792,0.0008802517783232,0.2079778317019189,0.3337670156233723,0.0004320403225428,0.0006648664357874
kap CrB b,0.3936021837289885,0.0008477046110791,0.3710566973647183,26.84762839435421,0.00066711806809,0.0018796634092795
eps Ind A b,0.1605081194137266,0.0008454495418221,0.1553125588267399,18.04131127472006,0.0006810762145038,0.0019710689030995
