Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HIP 65 A b,9.043952275741171,0.0689697423469465,4.97940990364796,13.151106220733976,0.0439929273293759,0.1068793327311405
ups And b,2.543201892203116,0.0642600873824588,1.0913933921675656,2.5006484523606822,0.0381430941805204,0.0770660910863077
HD 179949 b,5.5354016775719685,0.0505559545997819,2.307980966627413,5.101282372262663,0.0278236365341653,0.0501698984606418
HD 75289 b,1.493931789954419,0.0184047814713646,0.6484904403715192,1.4254468600836057,0.0091199072232105,0.0145606699967429
HD 81688 b,1.4355817870763947,0.0180468898334341,1.3129259099457216,60.52247034032887,0.0134479400079801,0.0288383425991257
HD 25723 b,1.214137896424175,0.0180085850746017,1.1341448758449035,65.62596514304971,0.0140118123467179,0.0469109806578403
KELT-7 b,3.3688133800091498,0.0166351552260005,0.7749768858594046,0.9049325361418727,0.0038556403626763,0.0048363480339453
51 Eri b,1.21649047462834,0.0165710796228633,1.134387846505816,57.55246985514139,0.0125592222392277,0.0365749152352534
HD 209458 b,1.7593434809020727,0.0127491782779563,0.1438677627480304,0.152218454835296,0.0022492653041773,0.002834382853021
HD 59686 A b,1.0197687583072987,0.0114328097458697,0.944555918942783,53.01684359705716,0.0087028908706524,0.0228379427269091
HD 130322 b,4.975072012362086,0.0111701034841436,2.330003294957423,5.012049645303468,0.0065918672279138,0.013817074081852
HD 147513 b,1.5446834605659745,0.0096807912515918,1.388854122037776,64.11370684092454,0.0071709582737327,0.0155605442124712
HD 88133 b,5.492558743640129,0.0090334846787822,2.9611906316691146,6.96747338482963,0.0054791131946443,0.0125709682397959
HD 187123 b,1.772147829558232,0.0073492071844534,0.7674528900090003,1.725863102674328,0.0038412616576945,0.0066599709672754
HD 102195 b,1.1430606451524998,0.0072491172661682,0.4634464164303502,1.0158548995651364,0.0035654773736975,0.0048124064020203
WASP-103 b,8.135195488132812,0.0072461849384934,1.1374038184181332,1.3455859161155583,0.0016770545975821,0.0024195311659907
HD 100655 b,1.720821658069515,0.0061203019736963,1.5995294466810492,78.5783835441744,0.0045959920633015,0.011723125944919
KELT-14 b,2.549438322665136,0.0058056395502264,0.2338022633553991,0.2589454541263696,0.0010107417012499,0.0012306922378489
WASP-19 b,7.604169062793749,0.0053684819348795,0.9763518962259604,1.1339946125588811,0.0019717180390537,0.0045337415375922
BD-10 3166 b,2.3923126947804105,0.0048678541249437,1.000893234762052,2.2690596667943845,0.002530996092621,0.0040632314739549
WASP-74 b,2.3728150818372704,0.0048490780276247,0.6414579757548826,0.8778356684670476,0.0018009423417918,0.0026341687279589
HD 102956 b,4.205458967865686,0.0038550813563654,1.7707447921028052,4.118764380891495,0.0025684745749775,0.0065654210325745
GJ 581 b,6.4348218244664,0.003756433892845,4.210526621150917,11.28732520919495,0.0020823464949964,0.0041097470792946
TOI-1789 b,1.410766090962762,0.0035925752855157,0.5439163273414259,0.9685459336148604,0.0013687363054091,0.0018354747653491
8 UMi b,1.6107400518325818,0.0035202377665635,1.4675317133944452,78.75043317552158,0.002651694047198,0.0056220382572262
HD 285507 b,4.591129105521449,0.0032165653555902,1.944347947165007,4.338897851248693,0.0018207373030323,0.003823629232343
HAT-P-49 b,8.087905965130645,0.0031230260278527,3.343947319088885,5.356825254240537,0.0015991788112952,0.0025530654789553
GJ 876 e,5.510367594747114,0.0030242701615123,5.136566353744592,373.1527859423733,0.0023898639274451,0.0057138287810128
HD 330075 b,1.4486342279521247,0.0026999250428863,0.610873751559643,1.377073380811802,0.0013226652765201,0.0020727561128583
KELT-4 A b,1.0956700772819492,0.0026440827966462,0.1295572550377161,0.144289466609512,0.0005013687533207,0.0006260110847011
HD 103774 b,1.123496549390129,0.0026346592279622,0.4412726050441508,1.0357574829136416,0.0014137207835705,0.0019865054807169
HD 149026 b,7.627876212438919,0.0025467662904799,2.6839364958422216,2.2189374824919303,0.0007262973700641,0.0008562371958441
HD 217107 b,7.260081906378179,0.0024424506698372,3.036890126272347,5.699184071709532,0.0012089835896979,0.0021365984174438
WASP-94 B b,3.0831713922424013,0.0022815633979811,1.3143260064160796,3.009092590901033,0.0011879100685255,0.0020646575108859
KELT-18 b,2.597308534073419,0.0021923517607935,0.3770975259167781,0.4270228770447617,0.0003035758815108,0.00035204317996
XO-7 b,1.8898948534274644,0.0021399380758216,0.1730546970167403,0.1824031232722009,0.0004779130956665,0.0004810611891368
HD 185269 b,4.586020373047291,0.0021268900981283,1.949954142718488,4.517981328040329,0.0012406016571667,0.002676277870248
KELT-2 A b,8.526357109080251,0.0017553193613886,1.960992875491872,2.4855006437241727,0.0004960404466363,0.0006384858560448
HD 103720 b,2.087277616186203,0.0017169153399456,0.867817621885073,1.9678895989114769,0.000939882170515,0.0018978818600232
HD 190007 b,4.596938774952935,0.001701000304897,3.0196233375667774,7.621638059690491,0.000996792551986,0.0022763437753974
KELT-23 A b,4.1784903519691925,0.0016018197954112,0.3658445293811372,0.4142327710568425,0.0005007294398849,0.0010710755478916
K2-237 b,5.651266218521945,0.0014623622951403,0.7947170700267705,0.8792269898338017,0.0004754286548333,0.0006383170692248
GJ 229 b,4.27758422700507,0.0014082656330583,4.068172421761589,253.5569771090948,0.0011151376144545,0.0032888290331188
HIP 91258 b,6.031855539055711,0.0013337039210657,2.698587482296955,6.175893869077097,0.0007331703670573,0.0017197614019605
WASP-93 b,3.847718513296861,0.0013058768252465,1.0940954009828818,1.3204442223010404,0.0003166886696293,0.0003498171575034
DMPP-2 b,1.0216798345143336,0.0012095889132333,0.3972764138307352,1.0044105289300258,0.000600426140188,0.0007882467090005
HAT-P-8 b,4.810547547675705,0.0011284049812982,1.607490604169548,2.258998828692896,0.0005152524494684,0.0008405129874817
HD 5891 b,1.707090532520058,0.0010744119655591,1.5727541158037108,76.04803684371542,0.0008443116672012,0.0040761062657185
GJ 3470 b,1.9240118677386344,0.001014957047406,0.5399495660496705,0.7370886852695058,0.0003370810383133,0.0004997819596808
HAT-P-13 b,3.092787502148136,0.0010139424556886,0.4773447706544962,0.5770886714650811,0.0002775480632117,0.0003919898442563
TrES-2 b,8.90032451623847,0.0009996874611359,2.050406947304694,2.6241663574233343,0.0003598669687501,0.0005925090700343
Qatar-10 b,1.5789090249307365,0.0009746072964277,0.2800884257010336,0.3167425972986837,0.0002922557974081,0.0004786555234741
WASP-4 b,8.170460062493571,0.0008343986219213,1.0238369268327556,1.2156906879684648,0.0002035964565663,0.0002765457179989
WASP-142 b,1.9150770644876889,0.0008294529955205,0.4079386763829635,0.5085545946703678,0.000193912056576,0.0002617879670693
WASP-1 b,2.05959369100318,0.0007822340378784,0.2284718458717474,0.2388269186955054,0.0001553383537142,0.0002133263622274
Qatar-7 b,5.1535786737277895,0.0007774024679555,0.9309781457337696,1.0541648217285662,9.952257074845456e-05,0.0001178768728165
WASP-80 b,4.786809339128576,0.0007369712466634,0.5882788610058709,0.6397602363271986,0.0002872628526928,0.0007988266286751
Qatar-6 b,4.843066855470401,0.0007260517490978,1.1104893968338332,1.429092955202611,0.0002101874474073,0.0004050911207903
GJ 338 B b,9.251592014957287,0.0006755286812133,8.81684292431836,855.2394380237299,0.0005427639565903,0.0015816743602948
HD 121504 b,2.364053325669713,0.0006443628270913,2.0944691394505157,92.11648529944895,0.0004675685202841,0.000952009517094
TOI-4860 b,3.896634656566228,0.0005942550256385,0.8193220299995208,1.095753022660923,0.0001411961988992,0.0001946084899461
TOI-519 b,5.0689281608707,0.0005559094260047,1.4849547605314153,1.3983633787930927,0.0002073781145189,0.0004424393149787
WASP-123 b,3.5236202719379173,0.0005503940374981,0.5416901058144896,0.6752740182839712,0.000130882867584,0.0001829230923769
HAT-P-1 b,1.044723206982365,0.0005066153712654,0.0685358064442775,0.0721353838927196,5.985645990720244e-05,6.715885724573707e-05
HD 47186 b,4.257855823989162,0.0004929756133123,2.760820848526272,10.77245647050416,0.000291603531335,0.0005932542353612
WASP-75 b,6.272025370535161,0.0004900633933101,0.826892863083474,0.94376675307935,9.353572984835792e-05,0.0001182040385474
K2-260 b,4.039450499081158,0.0004884143979206,1.2138321259576128,1.5071144085345942,0.0001044620372907,0.000135909130606
HAT-P-3 b,8.254049126700979,0.0004776358810003,2.2842688000111275,3.125465762087577,0.0002131516021652,0.0003968726686748
HD 49674 b,2.2422404033853294,0.0004677738252055,1.4340517969962976,5.90797404609855,0.0002729869350186,0.0004755971772733
LSPM J2116+0234 b,4.945402694869305,0.0004495523217232,3.2366238778677703,6.93702302991567,0.0002454344101289,0.0005190091206275
CoRoT-1 b,3.5020292526109054,0.0004358406526499,0.7016154654254225,0.9324553646896524,0.000121740738734,0.000178055802394
KELT-10 b,1.326290386804407,0.0004326029421664,0.1906093740879471,0.228250898766819,8.641849560004218e-05,0.0001061423720102
HD 195019 b,3.2892564709329277,0.0004050266819557,2.9258845547753367,142.5898541082143,0.0002927987064554,0.0005816415696303
TOI-3714 b,8.494013091464533,0.0003946177726696,0.9274507339785982,1.0421223983666683,0.0001412212306165,0.0003366755027686
WASP-15 b,1.4522971312615518,0.0003882180632527,0.6901641274233196,2.133582397492834,0.0003070481555769,0.0009473998662788
WASP-180 A b,4.295597143370465,0.000381798988982,0.731648650404888,0.8530271247343242,0.0001050412582801,0.0001347046383867
TOI-1130 c,4.014081699014303,0.0003741701771297,1.254453150345601,1.9258854536233128,0.0001236214679621,0.0001753746755345
WASP-92 b,2.1467800319725496,0.0003662908591547,0.4118725546695723,0.5120615816081524,0.0001514811553225,0.0003213823149174
HATS-23 b,2.1624501929360385,0.0003648022872062,0.9760902061804696,2.0457025181559363,0.0001812619863944,0.0003018188934136
WASP-11 b,4.876508849258023,0.0003387088858594,1.614017504711038,2.332794497409587,0.0001572764512908,0.0003272025529335
K2-29 b,3.5298237027599058,0.000330625119567,0.3244798327956961,0.3504169400922547,7.889224397440373e-05,0.0001295392897325
61 Vir c,2.9192112852757,0.000328423818175,2.7654561147657004,191.6827361894147,0.0002583662019064,0.0006647575262704
TrES-1 b,5.916068640147108,0.0003224693678504,1.2356992637577795,1.5962975258925898,0.0001272580763698,0.0002715440684275
HD 219828 b,5.445827045231455,0.0003109930307627,3.616107113623198,12.781923619448312,0.0001792139330826,0.0003626293076279
XO-2 N b,5.631821721836207,0.0002994230400542,0.6315706826479026,0.787351885119409,0.0001525133489532,0.0004092231789532
WASP-119 b,5.458981678897058,0.0002896066996981,2.1200992837986736,3.59313377396317,0.0001270805837882,0.0002325040032785
HD 167768 b,1.9366401710457128,0.0002745079742463,1.717773544495265,64.43617849785691,0.0002344299137508,0.0009011035079979
WASP-68 b,3.830157340728822,0.000271352491697,1.4291360543116118,2.1675545485179084,0.0001313940798715,0.0002209018054075
HD 99492 b,4.4019133450555845,0.000269754083828,4.056510743413962,188.8766380081989,0.0002063356377377,0.0004985994702758
HD 69830 b,9.453947734845094,0.0002615009651869,6.681212562486433,8.497886812106149,0.000154598238976,0.0004296123457274
WASP-22 b,2.58064413906482,0.0002577112551747,0.9659469620527988,1.5981451201645136,0.0001380907325789,0.0002391097067924
HD 213885 c,4.470171744049841,0.0002531952667381,2.948224021017173,11.03710106755803,0.0001462094494633,0.0002717168430734
WASP-100 b,5.363070618394991,0.000253049602392,2.579472101853678,4.35534170624007,0.0001674563768917,0.0002929099964629
XO-6 b,7.087345887339724,0.0002379116007524,2.51701127287621,3.7830529995215256,0.000115268796634,0.0002350409301798
TOI-163 b,2.9862572386562074,0.0002308578213339,0.4445685950861588,0.4885202047640335,3.409564366869944e-05,4.072734283886375e-05
WASP-49 b,1.039221523414275,0.0002298125542408,0.6971870477889531,1.1175027342007788,0.0001049497533335,0.0001739835883676
HD 145377 b,2.2583318711720137,0.0002277978997782,2.0718537493826386,113.39741039794514,0.0001731956886769,0.000563091607903
HAT-P-5 b,5.845729986870969,0.0002268902223622,1.8860675218757657,2.549083576977456,9.969119500444557e-05,0.0001805120842552
HAT-P-4 b,2.323194795796127,0.0002265428441092,0.3986146097708498,0.5099048645223134,5.9189162921123226e-05,8.04511641794873e-05
HD 160691 d,8.978420324384274,0.0002235456041359,6.91361526530559,8.903819356745164,0.0001412492557154,0.0003676491560213
TOI-858 B b,5.843762250521275,0.0002195733912871,0.7697351525265939,0.8863642091092343,6.216617146452644e-05,0.0001052548814328
XO-1 b,4.768894085024435,0.0002175493742772,1.1655991017072656,1.5007566023186705,8.1804282440578e-05,0.0001562731199497
HAT-P-24 b,2.6153383233449707,0.0002173864443725,1.2169356782009506,2.223499025295001,0.000139104880202,0.0002828594559449
WASP-26 b,5.188324743169513,0.0002164626275181,2.094096822523689,3.367883932725352,0.0001165385751193,0.0002212695650609
HD 45184 b,9.141771962172076,0.0002156336174468,6.073828583271695,10.570883533223869,0.0001144944851756,0.0002524421887519
TOI-622 b,1.5011563742429377,0.0002100520772496,0.5559406529443743,1.0006056618069197,8.903826401041285e-05,0.0001393357262713
HD 141004 b,5.568858579731993,0.0002076581086129,5.215297436399324,442.8760631177355,0.0001609381289893,0.0003935542864635
HD 125612 c,7.749293227402787,0.0002074586466224,5.180307303520273,12.77931084835494,0.000117298287085,0.0002635559110746
GJ 163 b,9.03864773030173,0.0002070353959769,5.897161858721962,8.28573911639618,0.0001202266919631,0.0003264200571786
HD 147018 b,1.6081661229922006,0.000198756630383,1.4752369801858765,74.07578029155475,0.0001510741989217,0.0003564216398933
TOI-169 b,7.365469162997538,0.0001967800429236,1.5122979599067845,1.9340853952975257,6.374925458424056e-05,0.0001240512802966
WASP-176 b,1.4945040054712848,0.0001891836897249,0.2223862453525351,0.2577492709747258,3.537752746251012e-05,4.291915434187144e-05
HAT-P-66 b,1.1407109989027573,0.0001836795740886,0.2845074307313052,0.3798968539774841,5.69028248621294e-05,7.824584683835184e-05
WASP-159 b,1.0445979526609268,0.0001824075182679,0.2549708402245344,0.3408798987979731,5.223035556949505e-05,7.31664540417752e-05
HATS-3 b,3.4918037023101305,0.0001775904294574,0.6455394541392256,0.7457003539164258,2.814837172550761e-05,3.343656701503507e-05
HAT-P-50 b,7.752819489525785,0.0001733721395326,1.258822291983015,1.5274138046902062,4.308958959425198e-05,5.650567708191781e-05
TOI-157 b,7.498122353902058,0.0001693705953293,1.1650400739015678,1.2196569114083111,2.8580354815828876e-05,3.534624447842357e-05
Kepler-91 b,1.616391138586999,0.0001643974920124,0.5345867509482678,0.6800487021872235,4.4571674977635136e-05,5.986464836361908e-05
K2-107 b,1.9621935683996008,0.0001605006580101,0.4140147166786423,0.4386576019646699,4.410878219592319e-05,7.009347327770784e-05
XO-4 b,8.036519114917231,0.0001600922397054,1.9207225867819249,2.516097859737714,5.101976486655344e-05,7.352839506166324e-05
HATS-30 b,3.585372910287889,0.0001555172390295,0.5401476200554725,0.6502528681642339,4.303068967194629e-05,6.140424212977712e-05
HD 156279 b,1.2518799494647928,0.0001554277328556,1.1630335371381326,78.72642716146648,0.0001197223434738,0.0003520793353882
GJ 4276 b,3.6262994955310113,0.0001548079549165,2.391460413712275,7.225048481360899,8.720704999775811e-05,0.0001729711843802
HD 190360 c,3.309932301534465,0.0001486354623509,3.074773747600747,222.8060570656784,0.0001148419968574,0.0002685762878233
TOI-5293 A b,3.616857033829703,0.0001477265840161,0.7267385416479542,0.8477664288586229,5.947346242640127e-05,0.0001302628513274
HAT-P-9 b,1.6755178336726004,0.0001448006379829,0.3051897985529914,0.3665495436883841,4.180517404272141e-05,4.9261355165057535e-05
WASP-70 A b,2.573073527782032,0.0001414174696742,0.5741330471506856,0.7607285847545651,3.788358438060528e-05,5.108707107427996e-05
HAT-P-27 b,5.549383660450157,0.0001348377190866,1.1004840224366248,1.4640446802981462,5.164283862273261e-05,0.000102120097249
WASP-133 b,9.698607401885328,0.0001340410506739,1.5062354655156405,1.76498404846331,3.535729863516405e-05,4.979538232648392e-05
HD 102365 b,1.8900676983390952,0.0001316380297178,1.8098501842612884,167.04976808645094,0.0001051919613071,0.0003024929782366
HD 219134 g,2.986678346645042,0.0001289290124544,2.8848065375111966,355.95383127690263,0.0001051233188479,0.0003156246040637
HD 117618 b,1.4470385005300035,0.0001283720905755,1.2892133968043489,56.26078910656374,9.642885268453568e-05,0.0001709422343774
HD 10180 c,5.97712011518819,0.0001245007032253,3.8945061827198018,11.858864624551614,6.955265998001652e-05,0.0001323553079136
