Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
V1298 Tau b,0.0181816989158865,7.084221173522146,0.0180833135343725,4.702785474924554,6.974769069005781,1256.973564976878
V1298 Tau e,0.0305363465941546,6.88169573418261,0.030333062560955,7.092234450761402,6.754096404190703,1189.08388668443
AU Mic c,0.1956696552233292,5.00335578866625,0.1944425481966566,47.77872808901588,4.675475852871899,869.3538119446928
V1298 Tau d,0.1341168113048361,0.9014637386537944,0.1333014041151282,33.68061718610021,0.8658553752138352,142.17321325942427
alf Tau b,0.4822946689881799,0.3694460535538324,0.4561837375012157,43.98026119968797,0.3001810005791857,1.6442723398214951
bet UMi b,0.7369251146632342,0.3107252719022253,0.6930993642981773,60.8932479955102,0.2432067069496778,1.4119668138475026
HIP 65 A b,9.043952275741171,0.0689697423469465,4.97940990364796,13.151106220733976,0.0439929273293759,0.1068793327311405
ups And b,2.543201892203116,0.0642600873824588,1.0913933921675656,2.5006484523606822,0.0381430941805204,0.0770660910863077
HD 114082 b,19.06059049731184,0.0593071954604126,17.01105182732148,502.7313987796061,0.0409519409102905,0.1022970933568026
HD 179949 b,5.5354016775719685,0.0505559545997819,2.307980966627413,5.101282372262663,0.0278236365341653,0.0501698984606418
eps CrB b,0.9576494215613884,0.0498237666162559,0.895535578697147,68.44262363732979,0.0391933515570473,0.1267884846501378
tau Boo b,47.77988232724134,0.0490728423067191,4.98826707064363,4.535110596550695,0.0210118601713344,0.0327420690504456
V1298 Tau c,24.32977428034006,0.0417313373569283,6.082745565660442,3.0459556278340045,0.0149887546746331,0.0235878639917147
HD 189733 b,11.856594934207816,0.0295831867684317,1.1197109643781928,1.1525012071574476,0.0119421913873383,0.0290998710096447
WASP-18 b,103.44367808969636,0.0292315686780225,9.430530958506836,8.579535016411668,0.0108522598656979,0.0280072019612402
TOI-2109 b,76.02568689124604,0.02832475208241,7.938982089505828,7.293948914617673,0.0086902723999033,0.0172359720674395
51 Peg b,0.9928967349470024,0.0282706260064291,0.4358409789090307,0.9852347048372264,0.0146991358974011,0.0256924607331839
eps Eri b,0.4042433971428063,0.0249933785462004,0.3651487193795483,16.93752431218913,0.0189261575186396,0.0445784832382192
iot Dra b,0.8214095660529336,0.0219491563324689,0.7760111876947231,58.91954766303282,0.017264335854819,0.050604414735453
GJ 674 b,13.74366315712718,0.0195645293900739,8.983522349079795,9.748767413255631,0.0121881788492781,0.0338216445536461
