Name	Corona Temp. (K)	Wind Speed (km/s)
eps Eri b	5510615.0	1051.0
GJ 887 b	1684587.0	565.0
GJ 887 c	1684587.0	660.0
Ross 128 b	951203.0	502.0
tau Cet e	698049.0	858.0
tau Cet f	698049.0	956.0
tau Cet g	698049.0	676.0
tau Cet h	698049.0	760.0
eps Ind A b	1302682.0	1154.0
GJ 1061 b	706136.0	216.0
GJ 1061 c	706136.0	416.0
GJ 1061 d	706136.0	520.0
YZ Cet b	1123582.0	216.0
YZ Cet c	1123582.0	215.0
YZ Cet d	1123582.0	349.0
Teegarden's Star b	612532.0	288.0
Teegarden's Star c	612532.0	476.0
GJ 674 b	5158219.0	445.0
GJ 876 b	3328524.0	740.0
GJ 876 c	3328524.0	672.0
GJ 876 d	3328524.0	215.0
GJ 876 e	3328524.0	801.0
GJ 832 b	809918.0	1055.0
GJ 411 b	790561.0	591.0
HD 95735 c	790561.0	1034.0
GJ 229 A c	6798943.0	818.0
GJ 229 b	6798943.0	935.0
HD 20794 b	1118585.0	661.0
HD 20794 c	1118585.0	737.0
HD 20794 d	1118585.0	807.0
HD 20794 e	1153562.0	852.0
HN Lib b	1139956.0	685.0
GJ 581 b	1172177.0	456.0
GJ 581 c	1172177.0	575.0
GJ 581 e	1172177.0	344.0
GJ 338 B b	1409371.0	686.0
HD 219134 b	750463.0	444.0
HD 219134 c	750463.0	557.0
HD 219134 g	687650.0	815.0
HD 219134 h	687650.0	1039.0
GJ 514 b	4183813.0	830.0
61 Vir b	889134.0	504.0
61 Vir c	889134.0	746.0
61 Vir d	889134.0	844.0
CD Cet b	1360449.0	216.0
HD 192310 b	938274.0	796.0
HD 192310 c	938274.0	944.0
GJ 849 b	1612467.0	1011.0
GJ 849 c	1612467.0	1081.0
HD 102365 b	865970.0	840.0
HD 285968 b	1441198.0	559.0
GJ 3512 b	839940.0	802.0
GJ 3512 c	839940.0	953.0
AU Mic b	36874174.0	555.0
AU Mic c	36874174.0	647.0
GJ 436 b	1003723.0	357.0
HD 260655 b	1124201.0	360.0
HD 260655 c	1124201.0	492.0
WISEP J121756.91+162640.2 A b	644829.0	1123.0
