Name	Corona Temp. (K)	Wind Speed (km/s)
Teegarden's Star d	622912.0	399.0
Teegarden's Star c	622912.0	330.0
Teegarden's Star b	622912.0	253.0
LHS 3154 b	887703.0	233.0
TOI-1696 b	798434.0	235.0
TOI-4184 b	800557.0	290.0
GJ 3512 c	839940.0	659.0
GJ 3512 b	839940.0	548.0
GJ 1061 d	706136.0	352.0
GJ 1061 c	706136.0	295.0
GJ 1061 b	706136.0	222.0
TOI-2266 b	7460230.0	215.0
CD Cet b	1360449.0	203.0
TOI-1227 b	38241262.0	412.0
LHS 1140 b	960177.0	419.0
TOI-2136 b	1136333.0	359.0
GJ 1132 c	960177.0	336.0
TOI-237 b	1035324.0	292.0
K2-25 b	4046037.0	268.0
YZ Cet d	1123582.0	267.0
LHS 1140 c	960177.0	259.0
YZ Cet c	1123582.0	226.0
YZ Cet b	1123582.0	184.0
GJ 1132 b	960177.0	174.0
HN Lib b	1139956.0	463.0
GJ 4276 b	887542.0	403.0
TOI-3984 A b	1676443.0	317.0
GJ 876 b	3328524.0	502.0
GJ 876 c	3328524.0	454.0
GJ 876 d	3328524.0	221.0
GJ 1214 b	1385340.0	172.0
TOI-715 b	859239.0	404.0
Ross 128 b	951203.0	341.0
Kepler-445 d	787004.0	326.0
Kepler-446 d	1225810.0	314.0
TOI-2096 c	1172531.0	313.0
Kepler-445 c	787004.0	274.0
Kepler-446 c	1225810.0	266.0
TOI-2096 b	1172531.0	248.0
Kepler-445 b	787004.0	227.0
Kepler-446 b	1225810.0	201.0
GJ 3929 c	824819.0	401.0
LTT 3780 c	1529708.0	393.0
TOI-4438 b	1073538.0	351.0
GJ 3929 b	824819.0	249.0
TOI-4860 b	1154001.0	200.0
LTT 3780 b	1529708.0	136.0
GJ 849 c	1612467.0	754.0
GJ 849 b	1612467.0	702.0
LSPM J2116+0234 b	2129020.0	410.0
K2-146 c	1066032.0	286.0
K2-146 b	1066032.0	247.0
TOI-1685 b	2959793.0	131.0
K2-95 b	4084117.0	349.0
TOI-5293 A b	1706014.0	291.0
K2-288 B b	3343746.0	478.0
TOI-1266 c	816365.0	431.0
TOI-1266 b	816365.0	389.0
GJ 581 c	1172177.0	388.0
L 98-59 e	3809636.0	387.0
L 98-59 d	3885428.0	344.0
GJ 581 b	1172177.0	315.0
TOI-122 b	2018287.0	311.0
HATS-71 b	1564888.0	305.0
L 98-59 c	3885428.0	282.0
GJ 581 e	1172177.0	265.0
L 98-59 b	3809636.0	228.0
GJ 1252 b	1301570.0	96.0
GJ 832 b	809918.0	734.0
K2-104 b	4221095.0	243.0
GJ 876 e	3328524.0	547.0
GJ 317 c	1114401.0	757.0
GJ 317 b	1114401.0	650.0
TOI-700 d	2600314.0	478.0
TOI-700 e	2600314.0	457.0
TOI-700 c	2600314.0	417.0
K2-9 b	3297020.0	415.0
TOI-700 b	2600314.0	380.0
TOI-244 b	887045.0	357.0
TOI-620 b	924563.0	338.0
GJ 436 b	1003723.0	270.0
Wolf 327 b	1274090.0	109.0
GJ 674 b	5158219.0	310.0
GJ 3634 b	1128993.0	268.0
LHS 1678 d	852323.0	313.0
LHS 1678 c	852323.0	286.0
LHS 1678 b	852323.0	142.0
TOI-2084 b	853704.0	343.0
Kepler-296 f	1299747.0	522.0
Kepler-296 e	1299747.0	481.0
Kepler-296 d	575359.0	444.0
Kepler-249 d	1615258.0	422.0
Kepler-296 b	575359.0	398.0
HD 285968 b	1441198.0	377.0
Kepler-249 c	1615258.0	361.0
Kepler-296 c	575359.0	348.0
TOI-3785 b	841415.0	323.0
Kepler-249 b	1615258.0	295.0
TOI-3714 b	1700250.0	259.0
GJ 229 b	6798943.0	646.0
GJ 229 A c	6798943.0	559.0
HD 95735 c	790561.0	719.0
TOI-1470 c	2930391.0	432.0
GJ 411 b	790561.0	398.0
GJ 806 c	1109386.0	348.0
TOI-1470 b	2930391.0	267.0
GJ 806 b	1109386.0	161.0
GJ 3470 b	2533628.0	297.0
TOI-4201 b	2902971.0	313.0
K2-26 b	3627419.0	421.0
GJ 649 b	6363519.0	648.0
Kepler-138 e	1223839.0	488.0
Kepler-267 d	1555815.0	472.0
Kepler-236 c	1638489.0	456.0
Kepler-32 d	1821319.0	454.0
